TOWN_CODE_11,CITY_NAME_x,S_NAME_x,CITY_NAME_from_master,S_NAME_from_master,town_name_show,CITY_CODE,TOWN_CODE,CITY_NAME_y,S_NAME_y,TOWN_NAME_4COL,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入),たかき医院,ほんだ病院,五日町病院,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,医療法人社団 あんべクリニック,医療法人(社団)河内医院,南魚沼市民病院,南魚沼市民病院附属城内診療所,南魚沼市立 中之島診療所,南魚沼市立ゆきぐに大和病院,大熊内科医院,新潟県南魚沼保健所,新潟県地域医療推進機構魚沼基幹病院,町立湯沢病院,米倉医院,荒川診療所,萌気園あやめ診療所,萌気園二日町診療所,萌気園浦佐診療所,風間内科医院,齋藤記念病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
15210030000,十日町市,河内町,十日町市,河内町,十日町市河内町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.75259660903353,37.12439835181086,15.468835036162526,167.0,十日町市河内町,十日町市河内町,code_in_target_towns
15226019094,南魚沼市,五日町,南魚沼市,五日町,南魚沼市五日町,15226.0,19094.0,南魚沼市,五日町,新潟県南魚沼市五日町,943.0,h03_15.csv,29.0,36.0,44.0,41.0,32.0,36.0,42.0,43.0,61.0,68.0,54.0,73.0,62.0,70.0,67.0,65.0,57.0,36.0,16.0,8.0,0.0,1.0991000000000002,1.0,1.87056,2.0,1.6192,2.0,1.00819,1.0,0.75744,1.0,1.02132,1.0,1.34442,1.0,1.44179,1.0,2.13561,2.0,2.6601600000000003,3.0,2.3733,2.0,4.19823,4.0,3.918400000000001,4.0,5.6707,6.0,6.294650000000001,6.0,7.27805,7.0,6.8457,7.0,4.13388,4.0,1.60336,2.0,0.80168,1.0,0.0,0.0,58.07574,58.0,0.0,0.0,48.0,0.0,0.0,103.0,2017.0,219.0,0.0,878.0,0.0,0.0,2098.0,227.0,10599.0,0.0,0.0,0.0,215.0,0.0,92.0,138.88891671371238,37.128294286627074,15.513472831113855,16496.0,南魚沼市五日町,南魚沼市五日町,code_in_target_towns
15226020073,南魚沼市,麓,南魚沼市,麓,南魚沼市麓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,177.0,0.0,451.0,151.0,0.0,67.0,0.0,0.0,67.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,43.0,138.92184468850155,37.11533370778072,15.56534204545077,1527.0,南魚沼市麓,南魚沼市麓,code_in_target_towns
15226043040,南魚沼市,土沢,南魚沼市,土沢,南魚沼市土沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,138.98270879751368,37.0608193369496,15.568745311495105,593.0,南魚沼市土沢,南魚沼市土沢,code_in_target_towns
15210028000,十日町市,千歳町,十日町市,千歳町,十日町市千歳町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.75502279431865,37.12627681757526,15.570432341447134,351.0,十日町市千歳町,十日町市千歳町,code_in_target_towns
15210189000,十日町市,本町一丁目上,十日町市,本町一丁目上,十日町市本町一丁目上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.75900598839368,37.12768479844114,15.57576027069017,0.0,十日町市本町一丁目上,十日町市本町一丁目上,code_in_target_towns
15210022000,十日町市,塚原町,十日町市,塚原町,十日町市塚原町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,107.0,0.0,225.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,72.0,138.73996035607414,37.12046392589143,15.589548172840068,869.0,十日町市塚原町,十日町市塚原町,code_in_target_towns
15210191000,十日町市,本町東一丁目,十日町市,本町東一丁目,十日町市本町東一丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76122209685303,37.12854004866803,15.590310970362284,0.0,十日町市本町東一丁目,十日町市本町東一丁目,code_in_target_towns
15226033060,南魚沼市,岡,南魚沼市,岡,南魚沼市岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.96338150312152,37.08564125975208,15.607070329832018,172.0,南魚沼市岡,南魚沼市岡,code_in_target_towns
15210190000,十日町市,本町一丁目下,十日町市,本町一丁目下,十日町市本町一丁目下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,138.76017803016094,37.129101111901505,15.68252478783961,172.0,十日町市本町一丁目下,十日町市本町一丁目下,code_in_target_towns
