town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,米倉医院,新潟県地域医療推進機構魚沼基幹病院,南魚沼市民病院,南魚沼市立ゆきぐに大和病院,町立湯沢病院,齋藤記念病院,南魚沼市民病院附属城内診療所,萌気園浦佐診療所,新潟県南魚沼保健所,医療法人社団 あんべクリニック,たかき医院,風間内科医院,大熊内科医院,ほんだ病院,医療法人(社団)河内医院,南魚沼市立 中之島診療所,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,萌気園二日町診療所,萌気園あやめ診療所,五日町病院,荒川診療所
南魚沼市八竜新田,南魚沼市,八竜新田,15226135026,4.250342213588699,138.86366682478734,37.021616010688476,3703.0,345.0,65.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0
南魚沼市目来田,南魚沼市,目来田,15226114007,4.25349291705736,138.84625999754414,37.03277951245419,1766.0,739.0,733.0,213.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市小木六,南魚沼市,小木六,15226134025,4.323521872722108,138.8581913644627,37.02724449349319,268.0,378.0,428.0,378.0,0.0,0.0,0.0,0.0,265.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,0.0,0.0
南魚沼市滝谷,南魚沼市,滝谷,15226129064,4.360893649571703,138.87290339437146,36.98691837786113,1051.0,0.0,1368.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109008,4.415990338000701,138.84163934293366,37.03583031235789,120.0,217.0,69.0,0.0,36.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市樺野沢,南魚沼市,樺野沢,15226116009,4.4770055578631665,138.8143268645793,37.03736133000393,2193.0,113.0,1245.0,0.0,556.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市泉盛寺,南魚沼市,泉盛寺,15226120011,4.722989130710504,138.8274203481603,37.04062337596028,5146.0,1290.0,1632.0,190.0,61.0,0.0,0.0,95.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109001,4.723248083890106,138.8480465434832,37.03677521210447,1452.0,1053.0,1983.0,350.0,1503.0,153.0,5452.0,0.0,0.0,115.0,0.0,341.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0
南魚沼市大里,南魚沼市,大里,15226133024,4.882815207310306,138.8643411680043,37.0295411744513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市上十日町,南魚沼市,上十日町,15226113020,4.919581906989489,138.85667422963826,37.03493959352332,2634.0,910.0,1621.0,284.0,134.0,122.0,0.0,0.0,283.0,469.0,0.0,366.0,0.0,0.0,0.0,122.0,32.0,1311.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109003,5.020223194707142,138.84671255058367,37.04013395239211,5613.0,3335.0,1311.0,878.0,970.0,203.0,0.0,0.0,66.0,1165.0,0.0,170.0,0.0,0.0,56.0,0.0,66.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127058,5.029079785615875,138.8780758985497,37.015691790685736,4667.0,420.0,692.0,38.0,36.0,112.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109002,5.06928553088552,138.85292540003138,37.038310466209715,324.0,0.0,1052.0,0.0,0.0,122.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127057,5.095455442039513,138.875979339969,37.02049136114242,1722.0,0.0,393.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
十日町市倉下,十日町市,倉下,15210111026,5.107934052074996,138.76861149365172,36.99377860096308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127061,5.115326942889026,138.8829257289542,37.004461909064375,2939.0,437.0,232.0,227.0,0.0,0.0,0.0,0.0,0.0,400.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127060,5.132463660021732,138.88133532835522,37.011134084411076,201.0,380.0,432.0,506.0,33.0,69.0,6216.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109005,5.308719301869235,138.8550706916777,37.039826603012735,419.0,903.0,0.0,116.0,725.0,0.0,0.0,0.0,0.0,540.0,0.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0
