town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
松崎町岩科北側,松崎町,岩科北側,22305021031,7.826995158707277,138.7817221656592,34.740736395824506,0.0,122.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町大沢里,西伊豆町,大沢里,00223060050,8.060255697127648,138.85468368461113,34.82159505936143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町岩科北側,松崎町,岩科北側,22305021030,8.186360232930522,138.78739159393805,34.738364457313715,0.0,0.0,0.0,64.0,0.0,131.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056025,8.208744955820698,138.7611290885027,34.883787416656475,463.0,1303.0,78.0,0.0,0.0,0.0,306.0,0.0,0.0
松崎町大澤,松崎町,大澤,00223050130,8.243685290494914,138.83820097107088,34.76405626371739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055036,8.40141637328467,138.784986046892,34.88432989269956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町岩科北側,松崎町,岩科北側,22305021029,8.425438658329869,138.7934304185264,34.73743372966215,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055022,8.66506550487204,138.77597708012692,34.8877652367655,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町岩科南側,松崎町,岩科南側,22305022025,8.709739045865536,138.783314714489,34.73290631290673,0.0,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
松崎町岩科南側,松崎町,岩科南側,22305022024,8.738290194883797,138.77788065366437,34.73202870383845,149.0,0.0,0.0,0.0,0.0,143.0,0.0,36.0,0.0
