town_name_show,dist_km,奈良県立医科大学附属病院30,酢谷内科30,医療法人友愛会 しらかしクリニック30,橿原神宮前すぎもと内科クリニック30,神宮前こころのクリニック30,平成記念病院30,医療法人 橿原友紘会 大和橿原病院30,明日香村国民健康保険診療所30,笠原内科医院30,医療法人たなせ医院30
橿原市見瀬町,2.236408103188557,3963.0,2561.0,2442.0,2442.0,2793.0,1595.0,2029.0,284.0,1224.0,552.0
高取町大字観覚寺,2.3334148340581837,932.0,329.0,0.0,200.0,113.0,417.0,387.0,639.0,38.0,0.0
橿原市白橿町二丁目,2.3440985296732952,929.0,500.0,2050.0,199.0,638.0,409.0,294.0,300.0,658.0,910.0
明日香村大字阿部山,2.383765189870987,226.0,152.0,0.0,0.0,28.0,57.0,86.0,337.0,0.0,0.0
橿原市白橿町五丁目,2.406532308100441,3689.0,3803.0,6388.0,422.0,2967.0,1068.0,654.0,780.0,3468.0,1185.0
橿原市田中町,2.428784326542647,1848.0,129.0,89.0,508.0,84.0,339.0,445.0,243.0,0.0,0.0
明日香村大字真弓,2.4303124711039774,261.0,62.0,66.0,0.0,0.0,156.0,114.0,405.0,0.0,0.0
明日香村大字細川,2.4553005958611522,0.0,0.0,36.0,0.0,97.0,55.0,237.0,429.0,0.0,0.0
明日香村大字小山,2.5390977783411928,30.0,0.0,0.0,0.0,0.0,134.0,0.0,155.0,0.0,0.0
高取町大字佐田,2.5929617754031327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字山田,2.63342177727318,46.0,0.0,0.0,48.0,0.0,0.0,0.0,76.0,0.0,0.0
橿原市南妙法寺町,2.6614474770151304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市南妙法寺町,2.698640921576748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市白橿町四丁目,2.712343290840651,1494.0,1932.0,3111.0,130.0,608.0,468.0,280.0,161.0,2267.0,581.0
橿原市栄和町,2.7127724016153003,1471.0,813.0,223.0,1013.0,125.0,413.0,1447.0,0.0,86.0,43.0
橿原市南山町,2.7143385552709085,0.0,0.0,0.0,539.0,0.0,150.0,0.0,0.0,0.0,0.0
高取町大字下土佐,2.7748100433504206,275.0,142.0,43.0,43.0,123.0,269.0,396.0,59.0,41.0,0.0
橿原市白橿町三丁目,2.781982769180632,1033.0,1952.0,3733.0,366.0,1727.0,1070.0,206.0,0.0,1109.0,1831.0
橿原市白橿町一丁目,2.7998807202063456,1490.0,1802.0,938.0,113.0,1237.0,713.0,182.0,0.0,304.0,918.0
高取町大字上土佐,2.849305488329898,604.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
桜井市大字高家,2.8780561736966344,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市上飛騨町,2.939724976655601,925.0,135.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0
