town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,奈良県立医科大学附属病院30,大和高田市立病院30,平成記念病院30,南和広域医療企業団 南奈良総合医療センター30,酢谷内科30,ましたに内科クリニック30,医療法人山村クリニック30,武田内科医院30,医療法人田中医院30,よもぎクリニック30,神宮前こころのクリニック30,上田医院30_2,医療法人友愛会 しらかしクリニック30,医療法人 松谷医院30,井上クリニック30,社会医療法人健生会土庫病院30,奈良県医療福祉生活協同組合 みみなし診療所30,医療法人 橿原友紘会 大和橿原病院30,橿原神宮前すぎもと内科クリニック30,中谷医院30,医療法人社団憲仁会中井記念病院30,徳岡クリニック30,もりたクリニック30,医療法人植松クリニック 八木植松クリニック30,まつおかクリニック30,医療法人一路会錦織病院30,医療法人ひのうえ会ひがみリウマチ・糖尿病内科クリニック30,Rこころのクリニック30,明日香村国民健康保険診療所30,はしもと婦人科クリニック30,さくらクリニック30,医療法人中島医院30,医療法人 さくら会 うねび内科クリニック30,医療法人友愛会 かつらぎクリニック30,辻本内科医院30,一般社団法人 葛城メディカルセンター30,医療法人友愛会沢田医院30,医療法人翠悠会高田診療所30,医療法人芳隆会八嶌医院30,橿原市休日夜間応急診療所30,南和広域医療企業団 吉野病院30,医療法人黄クリニック30,医療法人新和会 岡本内科こどもクリニック30,社会福祉法人綜合施設 美吉野園診療所30,医療法人下河辺医院30,奈良こころとからだのクリニック30,よしだクリニック30,水野医院30,医療法人髙宮会 髙宮病院30,ますだ診療所30,笠原内科医院30,医療法人たなせ医院30,医療法人 きむクリニック30,クリニック神宮前30,南和病院30,あさくらクリニック30,医療法人 竹川内科クリニック30,松本クリニック30,医療法人康成会藤原京クリニック30,橋本クリニック30
明日香村大字阪田,明日香村,大字阪田,29402026000,1.6339416580007642,135.82912958376562,34.45981512009425,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,42.0,0.0,65.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,188.0,0.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市菖蒲町一丁目,橿原市,菖蒲町一丁目,29205082001,1.6392718648151385,135.80610744572613,34.48105756469375,1553.0,176.0,602.0,0.0,510.0,38.0,143.0,155.0,72.0,0.0,39.0,0.0,200.0,0.0,101.0,0.0,275.0,891.0,1268.0,0.0,44.0,38.0,111.0,194.0,230.0,87.0,297.0,0.0,363.0,39.0,167.0,246.0,264.0,106.0,0.0,81.0,0.0,99.0,66.0,120.0,0.0,0.0,180.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
明日香村大字檜前,明日香村,大字檜前,29402002000,1.640375545903391,135.80108625687785,34.45798649144532,1576.0,175.0,624.0,282.0,73.0,131.0,0.0,258.0,0.0,0.0,198.0,0.0,934.0,0.0,0.0,0.0,0.0,949.0,118.0,0.0,0.0,0.0,0.0,0.0,63.0,335.0,0.0,0.0,909.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0
橿原市菖蒲町二丁目,橿原市,菖蒲町二丁目,29205082002,1.6473303191511641,135.80341452765865,34.479743989684806,1561.0,0.0,256.0,0.0,434.0,74.0,0.0,112.0,277.0,0.0,93.0,0.0,0.0,0.0,84.0,0.0,508.0,244.0,220.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,390.0,0.0,0.0,224.0,199.0,0.0,0.0,197.0,0.0,0.0,51.0,61.0,121.0,61.0,104.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0
明日香村大字越,明日香村,大字越,29402012000,1.7107058151819694,135.79579740587565,34.46585602611135,554.0,0.0,0.0,95.0,291.0,82.0,46.0,0.0,0.0,88.0,0.0,0.0,337.0,0.0,0.0,45.0,0.0,151.0,183.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字上居,明日香村,大字上居,29402017000,1.719112425402728,135.83303525302694,34.46817411892577,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市白橿町七丁目,橿原市,白橿町七丁目,29205081007,1.7560363160534826,135.7953392649746,34.470278632309125,370.0,0.0,66.0,0.0,910.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,872.0,0.0,0.0,250.0,0.0,226.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,126.0,0.0,0.0,0.0,69.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,392.0,139.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字東山,明日香村,大字東山,29402038000,1.7573981105102432,135.82927249922034,34.47780185355895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字小原,明日香村,大字小原,29402039000,1.8177165204561136,135.832347044751,34.474691821873684,37.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
橿原市大軽町,橿原市,大軽町,29205023000,1.8536561545354013,135.79876656989984,34.47863497095078,849.0,41.0,371.0,0.0,807.0,171.0,98.0,48.0,175.0,138.0,525.0,51.0,0.0,96.0,40.0,131.0,44.0,703.0,446.0,90.0,0.0,51.0,47.0,0.0,155.0,218.0,0.0,0.0,0.0,0.0,87.0,37.0,43.0,0.0,52.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,44.0,0.0,95.0,57.0,51.0,0.0,0.0,39.0,35.0,43.0,47.0,0.0,44.0,0.0,0.0,0.0,0.0
明日香村大字八釣,明日香村,大字八釣,29402037000,1.8540949858589113,135.827812172053,34.48034319749413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
明日香村大字稲渕,明日香村,大字稲渕,29402025000,1.860335906172788,135.82577197717393,34.4541555284463,46.0,0.0,0.0,0.0,42.0,0.0,128.0,41.0,0.0,233.0,94.0,0.0,41.0,0.0,0.0,0.0,0.0,65.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
橿原市和田町,橿原市,和田町,29205025100,1.860872616024325,135.80708181324468,34.4835931886253,395.0,0.0,343.0,78.0,299.0,0.0,78.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,64.0,0.0,0.0,301.0,0.0,84.0,0.0
明日香村大字雷,明日香村,大字雷,29402034000,1.9800813526967755,135.81395835381593,34.48575207130026,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市和田町,橿原市,和田町,29205025200,2.0198819856784245,135.80796680299596,34.48534937649226,14.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市白橿町八丁目,橿原市,白橿町八丁目,29205081008,2.078407799297181,135.79172552536807,34.469808257999475,878.0,0.0,666.0,0.0,825.0,0.0,0.0,0.0,0.0,54.0,414.0,0.0,943.0,0.0,27.0,0.0,0.0,273.0,31.0,0.0,0.0,40.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1442.0,388.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
橿原市白橿町六丁目,橿原市,白橿町六丁目,29205081006,2.0810534174659714,135.79238657819428,34.47288061045919,653.0,0.0,360.0,0.0,571.0,37.0,0.0,0.0,56.0,0.0,224.0,31.0,1095.0,0.0,172.0,30.0,45.0,479.0,627.0,0.0,0.0,0.0,0.0,39.0,41.0,0.0,236.0,31.0,56.0,0.0,91.0,40.0,62.0,0.0,27.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1173.0,145.0,0.0,0.0,0.0,0.0,222.0,0.0,27.0,31.0
明日香村大字奥山,明日香村,大字奥山,29402036000,2.1356374960114333,135.82128058845316,34.48626678535844,377.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,273.0,30.0,0.0,85.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0
