TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,おおさわ医院,おがわ医院,こせき醫院,さつき内科・小児科クリニック,わだ内科外科クリニック,セオ医院,タチ医院,中津川市国民健康保険阿木診療所,中部クリニック,加藤クリニック,勝股医院,医療法人恵雄会 井口ハートクリニック,医療法人社団仁愛会 瑞浪病院,国民健康保険上矢作病院,大湫病院附属恵那診療所,学校法人廣池学園診療所,安部医院,尾崎医院,山田診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,岩島医院,嶋崎内科医院,広瀬クリニック,度会医院,恵那ファミリークリニック,恵那市国民健康保険三郷診療所,恵那市国民健康保険串原診療所,恵那市国民健康保険山岡診療所,恵那市国民健康保険岩村診療所,明生クリニック,東濃中央クリニック,林外科内科,森川クリニック,河上クリニック,澤﨑内科クリニック,瑞岐会診療所,田中クリニック,石田医院,虹いろ在宅ケアクリニック,蜂谷医院,近藤クリニック,道しるべ,長谷川皮膚科,陶生堂医院,NexWel恵那地域笑顔共創クリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
21208032001,瑞浪市,北小田町一丁目,瑞浪市,北小田町一丁目,瑞浪市北小田町一丁目,岐阜県,瑞浪市,北小田町,一丁目,瑞浪市北小田町一丁目,21208.0,32001.0,4.0,338.0,24.0,19.0,15.0,22.0,13.0,15.0,21.0,29.0,22.0,30.0,24.0,18.0,17.0,24.0,17.0,10.0,3.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,48.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,137.2436895733015,35.362507703902125,12.463306098475218,1278.0,瑞浪市北小田町一丁目,瑞浪市北小田町一丁目,code_in_car30
21208016001,瑞浪市,明賀台一丁目,瑞浪市,明賀台一丁目,瑞浪市明賀台一丁目,岐阜県,瑞浪市,明賀台,一丁目,瑞浪市明賀台一丁目,21208.0,16001.0,4.0,235.0,5.0,5.0,8.0,18.0,14.0,8.0,8.0,4.0,14.0,22.0,24.0,20.0,24.0,15.0,20.0,10.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,69.0,0.0,100.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,137.2440453192868,35.34083921690648,12.463839554053138,1081.0,瑞浪市明賀台一丁目,瑞浪市明賀台一丁目,code_in_car30
21208002001,瑞浪市,須野志町一丁目,瑞浪市,須野志町一丁目,瑞浪市須野志町一丁目,岐阜県,瑞浪市,須野志町,一丁目,瑞浪市須野志町一丁目,21208.0,2001.0,4.0,190.0,15.0,8.0,11.0,15.0,8.0,11.0,22.0,16.0,12.0,12.0,12.0,13.0,14.0,3.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,70.0,0.0,137.24404465041314,35.366086392589374,12.470684943487763,260.0,瑞浪市須野志町一丁目,瑞浪市須野志町一丁目,code_in_car30
21210084007,恵那市,串原閑羅瀬,恵那市,串原閑羅瀬,恵那市串原閑羅瀬,岐阜県,恵那市,串原,閑羅瀬,恵那市串原閑羅瀬,21210.0,84007.0,4.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4158988180174,35.2441026181193,12.536852019091025,0.0,恵那市串原閑羅瀬,恵那市串原閑羅瀬,code_in_car30
21210085009,恵那市,上矢作町下,恵那市,上矢作町下,恵那市上矢作町下,岐阜県,恵那市,上矢作町,下,恵那市上矢作町下,21210.0,85009.0,4.0,284.0,1.0,9.0,14.0,11.0,3.0,2.0,10.0,9.0,21.0,11.0,12.0,14.0,13.0,23.0,14.0,19.0,21.0,29.0,28.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4766243919837,35.2711454361151,12.606655893231313,734.0,恵那市上矢作町下,恵那市上矢作町下,code_in_car30
21208031004,瑞浪市,南小田町四丁目,瑞浪市,南小田町四丁目,瑞浪市南小田町四丁目,岐阜県,瑞浪市,南小田町,四丁目,瑞浪市南小田町四丁目,21208.0,31004.0,4.0,382.0,21.0,22.0,23.0,26.0,20.0,22.0,19.0,29.0,27.0,49.0,24.0,27.0,10.0,6.0,14.0,17.0,15.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,36.0,0.0,0.0,126.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,41.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.24156247768659,35.353983168409705,12.613399701121656,1246.0,瑞浪市南小田町四丁目,瑞浪市南小田町四丁目,code_in_car30
21208032003,瑞浪市,北小田町三丁目,瑞浪市,北小田町三丁目,瑞浪市北小田町三丁目,岐阜県,瑞浪市,北小田町,三丁目,瑞浪市北小田町三丁目,21208.0,32003.0,4.0,203.0,7.0,15.0,19.0,5.0,12.0,6.0,14.0,9.0,15.0,19.0,16.0,15.0,10.0,7.0,9.0,7.0,7.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,232.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,137.2417340434319,35.36063638097382,12.62468486619222,866.0,瑞浪市北小田町三丁目,瑞浪市北小田町三丁目,code_in_car30
21208024000,瑞浪市,明世町戸狩,瑞浪市,明世町戸狩,瑞浪市明世町戸狩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,292.0,0.0,0.0,463.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,113.0,0.0,164.0,0.0,53.0,0.0,0.0,0.0,0.0,94.0,575.0,0.0,0.0,0.0,926.0,0.0,0.0,0.0,0.0,28.0,0.0,261.0,0.0,0.0,161.0,137.24299515329142,35.37103580603982,12.639848552949834,3197.0,瑞浪市明世町戸狩,瑞浪市明世町戸狩,code_in_car30
21210050000,恵那市,武並町藤,恵那市,武並町藤,恵那市武並町藤,岐阜県,恵那市,武並町,藤,恵那市武並町藤,21210.0,50000.0,4.0,1103.0,35.0,45.0,63.0,40.0,45.0,45.0,41.0,63.0,71.0,80.0,67.0,73.0,52.0,85.0,99.0,61.0,54.0,48.0,28.0,8.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,7.0,9.0,7.0,6.0,6.0,3.0,1.0,0.0,65.0,0.0,53.0,0.0,0.0,0.0,53.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,195.0,98.0,0.0,53.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,868.0,357.0,0.0,0.0,0.0,104.0,197.0,0.0,0.0,0.0,0.0,1278.0,137.32359871854285,35.45704018127477,12.659683576228298,3791.0,恵那市武並町藤,恵那市武並町藤,code_in_car30
21208002002,瑞浪市,須野志町二丁目,瑞浪市,須野志町二丁目,瑞浪市須野志町二丁目,岐阜県,瑞浪市,須野志町,二丁目,瑞浪市須野志町二丁目,21208.0,2002.0,4.0,217.0,11.0,10.0,9.0,11.0,16.0,14.0,11.0,17.0,14.0,24.0,16.0,13.0,14.0,5.0,8.0,10.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,36.0,0.0,0.0,117.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,29.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,97.0,137.24188566352163,35.36567971239297,12.660137196368893,971.0,瑞浪市須野志町二丁目,瑞浪市須野志町二丁目,code_in_car30
21208031003,瑞浪市,南小田町三丁目,瑞浪市,南小田町三丁目,瑞浪市南小田町三丁目,岐阜県,瑞浪市,南小田町,三丁目,瑞浪市南小田町三丁目,21208.0,31003.0,4.0,481.0,28.0,23.0,27.0,27.0,28.0,20.0,23.0,39.0,28.0,44.0,35.0,24.0,22.0,14.0,26.0,29.0,20.0,15.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,26.0,0.0,0.0,48.0,0.0,101.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,205.0,0.0,137.24113976501596,35.35754030680762,12.660653809838433,1191.0,瑞浪市南小田町三丁目,瑞浪市南小田町三丁目,code_in_car30
21208013002,瑞浪市,松ヶ瀬町二丁目,瑞浪市,松ヶ瀬町二丁目,瑞浪市松ヶ瀬町二丁目,岐阜県,瑞浪市,松ヶ瀬町,二丁目,瑞浪市松ヶ瀬町二丁目,21208.0,13002.0,4.0,212.0,8.0,6.0,6.0,9.0,18.0,17.0,16.0,16.0,32.0,17.0,9.0,13.0,10.0,21.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,86.0,0.0,0.0,425.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,137.24206509774376,35.36733165183597,12.66545033488123,1156.0,瑞浪市松ヶ瀬町二丁目,瑞浪市松ヶ瀬町二丁目,code_in_car30
