town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,澤﨑内科クリニック,セオ医院,東濃中央クリニック,河上クリニック,広瀬クリニック,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,NexWel恵那地域笑顔共創クリニック,道しるべ,陶生堂医院,恵那ファミリークリニック,明生クリニック,おおさわ医院,大湫病院附属恵那診療所,岩島医院,こせき醫院,安部医院,虹いろ在宅ケアクリニック,中部クリニック,度会医院,タチ医院,加藤クリニック,おがわ医院,蜂谷医院,恵那市国民健康保険山岡診療所,中津川市国民健康保険阿木診療所,瑞岐会診療所,勝股医院,国民健康保険上矢作病院,田中クリニック,森川クリニック,恵那市国民健康保険三郷診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,恵那市国民健康保険串原診療所,医療法人社団仁愛会 瑞浪病院,山田診療所,医療法人恵雄会 井口ハートクリニック,嶋崎内科医院,近藤クリニック,さつき内科・小児科クリニック,長谷川皮膚科,恵那市国民健康保険岩村診療所,林外科内科,尾崎医院,石田医院,わだ内科外科クリニック,学校法人廣池学園診療所
恵那市岩村町上平,恵那市,岩村町上平,21210081027,4.955895021664448,137.41194554881827,35.38965008704068,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町市場町,恵那市,明智町市場町,21210083003,5.038013213404465,137.39058096695013,35.30853880501128,107.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
恵那市明智町向町,恵那市,明智町向町,21210083021,5.050456980456268,137.38078112252495,35.307695337008795,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0
恵那市明智町東山町,恵那市,明智町東山町,21210083017,5.053015912301919,137.39727718859578,35.30974642188046,94.0,0.0,148.0,86.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,1131.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町領家,恵那市,岩村町領家,21210081003,5.118735365506053,137.43437473462365,35.367212763721135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町石畑,恵那市,岩村町石畑,21210081002,5.150291351861045,137.43632487279908,35.36222048972071,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町新町二丁目,恵那市,岩村町新町二丁目,21210081040,5.234736529107111,137.4357577615018,35.36710620415464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町駅前町,恵那市,明智町駅前町,21210083004,5.262680998194772,137.38806358745427,35.30617568696768,176.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町宮町,恵那市,明智町宮町,21210083020,5.263335304711847,137.39093234103518,35.30653141061842,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町新町一丁目,恵那市,岩村町新町一丁目,21210081019,5.337139183485598,137.43698901791274,35.36697243078049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市山岡町田代,恵那市,山岡町田代,21210082008,5.376932827520028,137.3223930083303,35.34410644265028,225.0,0.0,0.0,0.0,274.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町西町二丁目,恵那市,岩村町西町二丁目,21210081039,5.432247642170409,137.43816877112982,35.3667351619449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町三区,恵那市,岩村町三区,21210081024,5.4521947075101975,137.42953250098074,35.38165678104461,0.0,0.0,0.0,44.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町柳町,恵那市,岩村町柳町,21210081001,5.474639141026702,137.43933609477529,35.364630630133945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町本町,恵那市,明智町本町,21210083018,5.49764037871677,137.39024840123827,35.30429892455537,233.0,0.0,307.0,0.0,0.0,0.0,0.0,40.0,0.0,78.0,0.0,37.0,0.0,153.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町高松,恵那市,岩村町高松,21210081006,5.516048407545114,137.44144612165817,35.35196404190034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
