CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
杉並区,久我山二丁目,杉並区,久我山二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,901,exact
杉並区,久我山三丁目,杉並区,久我山三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2957,exact
杉並区,久我山四丁目,杉並区,久我山四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2011,exact
杉並区,久我山五丁目,杉並区,久我山五丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1723,exact
杉並区,高井戸東二丁目,杉並区,高井戸東二丁目,城西病院,732,exact
杉並区,高井戸東三丁目,杉並区,高井戸東三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2090,exact
杉並区,高井戸東四丁目,杉並区,高井戸東四丁目,医療法人財団　荻窪病院,627,exact
杉並区,高井戸西一丁目,杉並区,高井戸西一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1479,exact
杉並区,高井戸西二丁目,杉並区,高井戸西二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,384,exact
杉並区,高井戸西三丁目,杉並区,高井戸西三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,519,exact
練馬区,中村北四丁目,練馬区,中村北四丁目,順天堂大学医学部附属練馬病院,897,exact
練馬区,貫井一丁目,練馬区,貫井一丁目,順天堂大学医学部附属練馬病院,694,exact
練馬区,貫井二丁目,練馬区,貫井二丁目,順天堂大学医学部附属練馬病院,1371,exact
練馬区,貫井三丁目,練馬区,貫井三丁目,順天堂大学医学部附属練馬病院,2224,exact
練馬区,貫井四丁目,練馬区,貫井四丁目,佐藤神経内科診療所,834,exact
練馬区,貫井五丁目,練馬区,貫井五丁目,順天堂大学医学部附属練馬病院,902,exact
練馬区,高松二丁目,練馬区,高松二丁目,順天堂大学医学部附属練馬病院,945,exact
練馬区,高松三丁目,練馬区,高松三丁目,順天堂大学医学部附属練馬病院,1252,exact
練馬区,高松四丁目,練馬区,高松四丁目,順天堂大学医学部附属練馬病院,1059,exact
練馬区,高松五丁目,練馬区,高松五丁目,山中病院,535,exact
練馬区,高松六丁目,練馬区,高松六丁目,順天堂大学医学部附属練馬病院,827,exact
練馬区,光が丘三丁目,練馬区,光が丘三丁目,順天堂大学医学部附属練馬病院,2358,exact
練馬区,光が丘六丁目,練馬区,光が丘六丁目,順天堂大学医学部附属練馬病院,260,exact
練馬区,光が丘七丁目,練馬区,光が丘七丁目,順天堂大学医学部附属練馬病院,1738,exact
練馬区,土支田一丁目,練馬区,土支田一丁目,順天堂大学医学部附属練馬病院,524,exact
練馬区,土支田二丁目,練馬区,土支田二丁目,順天堂大学医学部附属練馬病院,416,exact
練馬区,土支田三丁目,練馬区,土支田三丁目,練馬区石神井休日急患診療所,605,exact
練馬区,土支田四丁目,練馬区,土支田四丁目,順天堂大学医学部附属練馬病院,802,exact
練馬区,富士見台一丁目,練馬区,富士見台一丁目,順天堂大学医学部附属練馬病院,1670,exact
練馬区,富士見台二丁目,練馬区,富士見台二丁目,佐藤神経内科診療所,3622,exact
練馬区,富士見台三丁目,練馬区,富士見台三丁目,順天堂大学医学部附属練馬病院,3082,exact
練馬区,富士見台四丁目,練馬区,富士見台四丁目,順天堂大学医学部附属練馬病院,2003,exact
練馬区,南田中一丁目,練馬区,南田中一丁目,順天堂大学医学部附属練馬病院,1062,exact
練馬区,南田中二丁目,練馬区,南田中二丁目,薬師堂診療所・乳腺外科,1006,exact
練馬区,南田中三丁目,練馬区,南田中三丁目,順天堂大学医学部附属練馬病院,2722,exact
練馬区,南田中四丁目,練馬区,南田中四丁目,練馬区石神井休日急患診療所,2142,exact
練馬区,南田中五丁目,練馬区,南田中五丁目,練馬区石神井休日急患診療所,2696,exact
練馬区,高野台一丁目,練馬区,高野台一丁目,順天堂大学医学部附属練馬病院,4556,exact
練馬区,高野台二丁目,練馬区,高野台二丁目,順天堂大学医学部附属練馬病院,2775,exact
練馬区,高野台三丁目,練馬区,高野台三丁目,順天堂大学医学部附属練馬病院,8563,exact
練馬区,高野台四丁目,練馬区,高野台四丁目,順天堂大学医学部附属練馬病院,3017,exact
練馬区,高野台五丁目,練馬区,高野台五丁目,練馬区石神井休日急患診療所,1824,exact
