CITY_NAME,S_NAME,dominant,max_count,sel_dominant,sel_max_count,match_type2
杉並区,清水三丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,2133,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,239,exact
杉並区,桃井一丁目,城西病院,8419,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,257,exact
杉並区,桃井二丁目,城西病院,4134,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,631,exact
杉並区,桃井三丁目,医療法人財団　荻窪病院,2943,順天堂大学医学部附属練馬病院,218,exact
杉並区,桃井四丁目,城西病院,1786,順天堂大学医学部附属練馬病院,49,exact
杉並区,井草一丁目,藤村病院,1235,順天堂大学医学部附属練馬病院,143,exact
杉並区,井草二丁目,下井草診療所,2312,順天堂大学医学部附属練馬病院,1374,exact
杉並区,井草三丁目,城西病院,769,順天堂大学医学部附属練馬病院,300,exact
杉並区,井草四丁目,河北総合病院 分院,439,順天堂大学医学部附属練馬病院,41,exact
杉並区,井草五丁目,医療法人財団　荻窪病院,802,順天堂大学医学部附属練馬病院,414,exact
杉並区,下井草一丁目,藤村病院,4182,杏林大学医学部付属病院,212,exact
杉並区,下井草二丁目,藤村病院,889,順天堂大学医学部附属練馬病院,114,exact
杉並区,下井草三丁目,河北総合病院 分院,1733,杏林大学医学部付属病院,501,exact
杉並区,下井草四丁目,下井草診療所,3317,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,231,exact
杉並区,下井草五丁目,医療法人財団　荻窪病院,590,緑風荘病院,213,exact
杉並区,上井草一丁目,東京衛生アドベンチスト病院附属めぐみクリニック,650,順天堂大学医学部附属練馬病院,260,exact
杉並区,上井草二丁目,医療法人財団　荻窪病院,1992,順天堂大学医学部附属練馬病院,928,exact
杉並区,上井草三丁目,上井草在宅支援診療所,2965,順天堂大学医学部附属練馬病院,390,exact
杉並区,上井草四丁目,医療法人社団　杏順会　越川病院,5426,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,507,exact
杉並区,善福寺一丁目,医療法人社団　杏順会　越川病院,1649,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,713,exact
杉並区,善福寺二丁目,医療法人社団　親和会　杉並病院,1909,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,861,exact
杉並区,善福寺三丁目,市毛診療所 東京都練馬区,3566,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,664,exact
杉並区,善福寺四丁目,市毛診療所 東京都練馬区,2331,杏林大学医学部付属病院,487,exact
杉並区,松庵一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1766,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1766,exact
杉並区,松庵二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,793,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,793,exact
杉並区,松庵三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1701,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1701,exact
杉並区,宮前一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,294,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,294,exact
杉並区,宮前二丁目,山中病院,2034,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1192,exact
杉並区,宮前三丁目,杏林大学医学部付属病院,1556,杏林大学医学部付属病院,1556,exact
杉並区,宮前四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2015,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2015,exact
杉並区,宮前五丁目,みやまえ病院（旧寺田病院）,1365,杏林大学医学部付属病院,576,exact
杉並区,久我山一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,628,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,628,exact
杉並区,久我山二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,901,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,901,exact
杉並区,久我山三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2957,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2957,exact
杉並区,久我山四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2011,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2011,exact
杉並区,久我山五丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1723,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1723,exact
杉並区,高井戸東二丁目,城西病院,732,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,377,exact
杉並区,高井戸東三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2090,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2090,exact
杉並区,高井戸東四丁目,医療法人財団　荻窪病院,627,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,525,exact
杉並区,高井戸西一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1479,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1479,exact
杉並区,高井戸西二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,384,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,384,exact
杉並区,高井戸西三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,519,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,519,exact
練馬区,中村北四丁目,順天堂大学医学部附属練馬病院,897,順天堂大学医学部附属練馬病院,897,exact
練馬区,貫井一丁目,順天堂大学医学部附属練馬病院,694,順天堂大学医学部附属練馬病院,694,exact
練馬区,貫井二丁目,順天堂大学医学部附属練馬病院,1371,順天堂大学医学部附属練馬病院,1371,exact
練馬区,貫井三丁目,順天堂大学医学部附属練馬病院,2224,順天堂大学医学部附属練馬病院,2224,exact
練馬区,貫井四丁目,佐藤神経内科診療所,834,順天堂大学医学部附属練馬病院,758,exact
練馬区,貫井五丁目,順天堂大学医学部附属練馬病院,902,順天堂大学医学部附属練馬病院,902,exact
練馬区,高松二丁目,順天堂大学医学部附属練馬病院,945,順天堂大学医学部附属練馬病院,945,exact
練馬区,高松三丁目,順天堂大学医学部附属練馬病院,1252,順天堂大学医学部附属練馬病院,1252,exact
練馬区,高松四丁目,順天堂大学医学部附属練馬病院,1059,順天堂大学医学部附属練馬病院,1059,exact
練馬区,高松五丁目,山中病院,535,順天堂大学医学部附属練馬病院,354,exact
練馬区,高松六丁目,順天堂大学医学部附属練馬病院,827,順天堂大学医学部附属練馬病院,827,exact
練馬区,光が丘三丁目,順天堂大学医学部附属練馬病院,2358,順天堂大学医学部附属練馬病院,2358,exact
練馬区,光が丘六丁目,順天堂大学医学部附属練馬病院,260,順天堂大学医学部附属練馬病院,260,exact
練馬区,光が丘七丁目,順天堂大学医学部附属練馬病院,1738,順天堂大学医学部附属練馬病院,1738,exact
練馬区,土支田一丁目,順天堂大学医学部附属練馬病院,524,順天堂大学医学部附属練馬病院,524,exact
練馬区,土支田二丁目,順天堂大学医学部附属練馬病院,416,順天堂大学医学部附属練馬病院,416,exact
練馬区,土支田三丁目,練馬区石神井休日急患診療所,605,順天堂大学医学部附属練馬病院,408,exact
練馬区,土支田四丁目,順天堂大学医学部附属練馬病院,802,順天堂大学医学部附属練馬病院,802,exact
練馬区,富士見台一丁目,順天堂大学医学部附属練馬病院,1670,順天堂大学医学部附属練馬病院,1670,exact
練馬区,富士見台二丁目,佐藤神経内科診療所,3622,順天堂大学医学部附属練馬病院,2022,exact
練馬区,富士見台三丁目,順天堂大学医学部附属練馬病院,3082,順天堂大学医学部附属練馬病院,3082,exact
練馬区,富士見台四丁目,順天堂大学医学部附属練馬病院,2003,順天堂大学医学部附属練馬病院,2003,exact
練馬区,南田中一丁目,順天堂大学医学部附属練馬病院,1062,順天堂大学医学部附属練馬病院,1062,exact
練馬区,南田中二丁目,薬師堂診療所・乳腺外科,1006,順天堂大学医学部附属練馬病院,457,exact
練馬区,南田中三丁目,順天堂大学医学部附属練馬病院,2722,順天堂大学医学部附属練馬病院,2722,exact
練馬区,南田中四丁目,練馬区石神井休日急患診療所,2142,順天堂大学医学部附属練馬病院,1104,exact
練馬区,南田中五丁目,練馬区石神井休日急患診療所,2696,順天堂大学医学部附属練馬病院,1768,exact
練馬区,高野台一丁目,順天堂大学医学部附属練馬病院,4556,順天堂大学医学部附属練馬病院,4556,exact
練馬区,高野台二丁目,順天堂大学医学部附属練馬病院,2775,順天堂大学医学部附属練馬病院,2775,exact
練馬区,高野台三丁目,順天堂大学医学部附属練馬病院,8563,順天堂大学医学部附属練馬病院,8563,exact
練馬区,高野台四丁目,順天堂大学医学部附属練馬病院,3017,順天堂大学医学部附属練馬病院,3017,exact
練馬区,高野台五丁目,練馬区石神井休日急患診療所,1824,順天堂大学医学部附属練馬病院,1724,exact
練馬区,谷原一丁目,練馬区石神井休日急患診療所,1265,順天堂大学医学部附属練馬病院,898,exact
練馬区,谷原二丁目,順天堂大学医学部附属練馬病院,1358,順天堂大学医学部附属練馬病院,1358,exact
