CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
練馬区,南大泉四丁目,順天堂大学医学部附属練馬病院,3417,順天堂大学医学部附属練馬病院,3417,exact
練馬区,南大泉五丁目,順天堂大学医学部附属練馬病院,1758,順天堂大学医学部附属練馬病院,1758,exact
練馬区,南大泉六丁目,順天堂大学医学部附属練馬病院,465,順天堂大学医学部附属練馬病院,465,exact
練馬区,大泉学園町二丁目,医療法人社団　久保田産婦人科病院,5230,順天堂大学医学部附属練馬病院,908,exact
練馬区,大泉学園町三丁目,医療法人社団　久保田産婦人科病院,1659,順天堂大学医学部附属練馬病院,1562,exact
武蔵野市,吉祥寺東町一丁目,医療法人社団　東仁会　吉祥寺あさひ病院,1435,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1340,exact
武蔵野市,吉祥寺東町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2640,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2640,exact
武蔵野市,吉祥寺東町三丁目,吉祥寺こころの診療所,1478,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1117,exact
武蔵野市,吉祥寺東町四丁目,医療法人社団　親和会　杉並病院,1124,武蔵野赤十字病院,632,exact
武蔵野市,吉祥寺南町一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,5142,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,5142,exact
武蔵野市,吉祥寺南町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2938,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2938,exact
