town,town_norm,CITY_NAME_from_master,S_NAME_from_master,total_87,東久留米市休日診療所,佐々総合病院,公立昭和病院,武蔵野赤十字病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,緑風荘病院,杏林大学医学部付属病院,順天堂大学医学部附属練馬病院,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院
杉並区上井草三丁目,杉並区上井草三丁目,杉並区,上井草三丁目,13607,0.0,293.0,0.0,0.0,162.0,53.0,171.0,390.0,51.0,0.0
杉並区上井草四丁目,杉並区上井草四丁目,杉並区,上井草四丁目,13479,0.0,0.0,175.0,61.0,507.0,0.0,53.0,175.0,0.0,0.0
杉並区善福寺一丁目,杉並区善福寺一丁目,杉並区,善福寺一丁目,10178,0.0,58.0,57.0,111.0,713.0,0.0,73.0,0.0,309.0,0.0
杉並区善福寺二丁目,杉並区善福寺二丁目,杉並区,善福寺二丁目,8780,0.0,0.0,0.0,60.0,861.0,0.0,284.0,167.0,0.0,0.0
杉並区善福寺三丁目,杉並区善福寺三丁目,杉並区,善福寺三丁目,11267,0.0,50.0,0.0,0.0,664.0,0.0,284.0,0.0,0.0,98.0
杉並区善福寺四丁目,杉並区善福寺四丁目,杉並区,善福寺四丁目,9681,0.0,0.0,136.0,68.0,340.0,0.0,487.0,56.0,0.0,162.0
練馬区石神井町六丁目,練馬区石神井町六丁目,練馬区,石神井町六丁目,9076,0.0,0.0,97.0,0.0,0.0,0.0,73.0,1588.0,0.0,0.0
練馬区石神井町七丁目,練馬区石神井町七丁目,練馬区,石神井町七丁目,10473,0.0,51.0,49.0,0.0,62.0,0.0,0.0,1313.0,0.0,0.0
練馬区石神井台一丁目,練馬区石神井台一丁目,練馬区,石神井台一丁目,4025,0.0,0.0,0.0,157.0,0.0,0.0,0.0,404.0,0.0,0.0
練馬区石神井台二丁目,練馬区石神井台二丁目,練馬区,石神井台二丁目,13770,0.0,54.0,76.0,115.0,150.0,0.0,405.0,2786.0,0.0,54.0
練馬区石神井台三丁目,練馬区石神井台三丁目,練馬区,石神井台三丁目,19181,0.0,261.0,197.0,0.0,191.0,0.0,111.0,2863.0,93.0,129.0
練馬区石神井台四丁目,練馬区石神井台四丁目,練馬区,石神井台四丁目,13734,0.0,793.0,0.0,444.0,530.0,83.0,241.0,2233.0,0.0,0.0
練馬区石神井台五丁目,練馬区石神井台五丁目,練馬区,石神井台五丁目,9264,0.0,131.0,132.0,0.0,75.0,0.0,216.0,1097.0,0.0,0.0
練馬区石神井台六丁目,練馬区石神井台六丁目,練馬区,石神井台六丁目,7541,0.0,106.0,263.0,48.0,159.0,0.0,45.0,523.0,0.0,0.0
練馬区石神井台七丁目,練馬区石神井台七丁目,練馬区,石神井台七丁目,9513,89.0,67.0,223.0,85.0,388.0,0.0,0.0,802.0,197.0,0.0
練馬区石神井台八丁目,練馬区石神井台八丁目,練馬区,石神井台八丁目,7444,209.0,141.0,48.0,0.0,160.0,0.0,91.0,1108.0,0.0,0.0
練馬区上石神井一丁目,練馬区上石神井一丁目,練馬区,上石神井一丁目,14707,0.0,146.0,124.0,0.0,425.0,0.0,273.0,1195.0,90.0,41.0
練馬区上石神井二丁目,練馬区上石神井二丁目,練馬区,上石神井二丁目,11117,83.0,134.0,156.0,36.0,208.0,0.0,39.0,191.0,141.0,151.0
