CITY_NAME,S_NAME,dominant,dominant_top,max_count,match_type2
武蔵野市,西久保一丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,4202,exact
武蔵野市,西久保二丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,6536,exact
武蔵野市,西久保三丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,8279,exact
武蔵野市,緑町一丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,1300,exact
武蔵野市,緑町二丁目,武蔵野陽和会病院,その他(上位7以外),8398,exact
武蔵野市,緑町三丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,469,exact
武蔵野市,八幡町一丁目,医療法人社団　欣助会　吉祥寺病院,その他(上位7以外),11795,exact
武蔵野市,八幡町二丁目,武蔵野陽和会病院,その他(上位7以外),387,exact
武蔵野市,八幡町三丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,1235,exact
武蔵野市,八幡町四丁目,医療法人社団　ゆうの会　むさしの共立診療所,その他(上位7以外),1428,exact
武蔵野市,関前一丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,538,exact
武蔵野市,関前二丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,4204,exact
武蔵野市,関前三丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,3697,exact
武蔵野市,関前四丁目,医療法人社団　薫風会　山田病院,その他(上位7以外),680,exact
武蔵野市,関前五丁目,医療法人　徳洲会　武蔵野徳洲会病院,その他(上位7以外),901,exact
武蔵野市,境一丁目,一般財団法人　天誠会　武蔵境病院,その他(上位7以外),2548,exact
武蔵野市,境二丁目,一般財団法人　天誠会　武蔵境病院,その他(上位7以外),2885,exact
武蔵野市,境三丁目,一般財団法人　天誠会　武蔵境病院,その他(上位7以外),1681,exact
武蔵野市,境四丁目,武蔵野赤十字病院,武蔵野赤十字病院,773,exact
武蔵野市,境五丁目,武蔵野赤十字病院,武蔵野赤十字病院,2453,exact
武蔵野市,境南町一丁目,武蔵野赤十字病院,武蔵野赤十字病院,6396,exact
武蔵野市,境南町二丁目,境南耳鼻咽喉科診療所,その他(上位7以外),4819,exact
武蔵野市,境南町三丁目,境南耳鼻咽喉科診療所,その他(上位7以外),1603,exact
武蔵野市,境南町四丁目,境南耳鼻咽喉科診療所,その他(上位7以外),1249,exact
武蔵野市,境南町五丁目,境南耳鼻咽喉科診療所,その他(上位7以外),3417,exact
武蔵野市,桜堤一丁目,医療法人　徳洲会　武蔵野徳洲会病院,その他(上位7以外),1220,exact
武蔵野市,桜堤二丁目,武蔵野赤十字病院,武蔵野赤十字病院,2030,exact
武蔵野市,桜堤三丁目,医療法人　徳洲会　武蔵野徳洲会病院,その他(上位7以外),1760,exact
三鷹市,下連雀一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,3812,exact
三鷹市,下連雀二丁目,杏林大学医学部付属病院,その他(上位7以外),2185,exact
三鷹市,下連雀三丁目,杏林大学医学部付属病院,その他(上位7以外),3265,exact
三鷹市,下連雀四丁目,杏林大学医学部付属病院,その他(上位7以外),2839,exact
三鷹市,下連雀六丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4375,exact
三鷹市,下連雀七丁目,北多摩中央医療生活協同組合　みなみうら生協診療所,その他(上位7以外),2753,exact
三鷹市,下連雀九丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),1898,exact
三鷹市,井の頭四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,6790,exact
三鷹市,上連雀一丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,4154,exact
三鷹市,上連雀二丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,1223,exact
三鷹市,上連雀三丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),639,exact
三鷹市,上連雀四丁目,公益財団法人　井之頭病院,その他(上位7以外),9477,exact
三鷹市,上連雀五丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),3642,exact
三鷹市,上連雀六丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),1607,exact
三鷹市,上連雀七丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),2803,exact
