town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,奈良市立都祁診療所,医療法人正和会野村医院,社会医療法人畿内会 岡波総合病院,奈良市立月ヶ瀬診療所,山添村国民健康保険豊原診療所,山添村国民健康保険東山診療所,伊賀市立上野総合市民病院,奈良市立柳生診療所,あずまクリニック,山添村国民健康保険波多野診療所,医療法人 伊左治医院,医療法人アクアクリニック伊賀,医療法人友和会 竹沢内科歯科医院,梨ノ木診療所,佐々木内科,奈良市立田原診療所,ひらい小児科クリニック,奈良市立興東診療所,医療法人森川病院,はしもと総合診療クリニック,医療法人 泉澄会 亀田クリニック,おおのクリニック,医療法人社団馬岡医院,滝井医院,竹代クリニック,ゆめが丘クリニック,宮本医院,嶋地医院,広瀬医院,森田クリニック,桔梗往診クリニック24,医療法人佐那具医院,桔梗が丘四番町診療所,西田整形外科医院,一般財団法人信貴山病院分院上野病院,まちしクリニック,しみずハートクリニック,伊藤医院,医療法人阿山共生会 河合診療所,伊賀市応急診療所,医療法人 竹澤内科小児科医院,医療法人中産婦人科緑ケ丘クリニック,医療法人喜多医院,矢倉医院,あずま診療所,大西医院,松本胃腸内科,吉村クリニック,猪木内科医院,竹沢医院,谷本整形
山添村大字伏拝,山添村,大字伏拝,29322026000,6.8912887793906155,135.99777553211982,34.66243581427189,0.0,186.0,144.0,10.0,105.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字桐山,山添村,大字桐山,29322005000,7.045568740488439,135.97435251124926,34.684897216594294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字勝原,山添村,大字勝原,29322022000,7.05254252083452,136.03450672589813,34.64813936966791,0.0,365.0,0.0,0.0,51.0,0.0,120.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市北野山町,奈良市,北野山町,29201841000,7.085122640603601,135.97086598102615,34.69130282848188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字助命,山添村,大字助命,29322027000,7.320882162006038,136.00373136562035,34.65439039575978,0.0,0.0,14.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市興ヶ原町,奈良市,興ヶ原町,29201837000,7.448038749885856,135.96830386403343,34.734640992313764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市丹生町,奈良市,丹生町,29201840000,7.577399317936343,135.96392642013157,34.69524443051408,59.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字峰寺,山添村,大字峰寺,29322004000,7.6028472714061905,135.9780632704211,34.669972229932675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字岩屋,山添村,大字岩屋,29322023000,8.019239826543847,136.05895229884962,34.63988143320013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市柳生町,奈良市,柳生町,29201835000,8.153430328540239,135.956497247636,34.72270495200906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市下深川町,奈良市,下深川町,29201884000,8.31406172620534,135.98452934286922,34.65486742300925,114.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字室津,山添村,大字室津,29322001000,8.327616251191566,135.9610326420824,34.68115441407471,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字松尾,山添村,大字松尾,29322002000,8.396791098300692,135.96369988587523,34.67522084160736,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
