TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,あずまクリニック,あずま診療所,おおのクリニック,しみずハートクリニック,はしもと総合診療クリニック,ひらい小児科クリニック,まちしクリニック,ゆめが丘クリニック,一般財団法人信貴山病院分院上野病院,伊藤医院,伊賀市応急診療所,伊賀市立上野総合市民病院,佐々木内科,医療法人 伊左治医院,医療法人 泉澄会 亀田クリニック,医療法人 竹澤内科小児科医院,医療法人アクアクリニック伊賀,医療法人中産婦人科緑ケ丘クリニック,医療法人佐那具医院,医療法人友和会 竹沢内科歯科医院,医療法人喜多医院,医療法人森川病院,医療法人正和会野村医院,医療法人社団馬岡医院,医療法人阿山共生会 河合診療所,吉村クリニック,大西医院,奈良市立月ヶ瀬診療所,奈良市立柳生診療所,奈良市立田原診療所,奈良市立興東診療所,奈良市立都祁診療所,宮本医院,山添村国民健康保険東山診療所,山添村国民健康保険波多野診療所,山添村国民健康保険豊原診療所,嶋地医院,広瀬医院,松本胃腸内科,桔梗が丘四番町診療所,桔梗往診クリニック24,梨ノ木診療所,森田クリニック,滝井医院,猪木内科医院,矢倉医院,社会医療法人畿内会 岡波総合病院,竹代クリニック,竹沢医院,西田整形外科医院,谷本整形,LON,LAT,dist_km,total_patients,town,town_norm,match_type
29322030000,山添村,大字堂前,山添村,大字堂前,山添村大字堂前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.01592566937185,34.66384782218438,5.862845408765241,50.0,山添村大字堂前,山添村堂前,code_in_car30
29322018000,山添村,大字鵜山,山添村,大字鵜山,山添村大字鵜山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,136.07490681235484,34.66424275349417,5.895292018778046,129.0,山添村大字鵜山,山添村鵜山,code_in_car30
29322006000,山添村,大字北野,山添村,大字北野,山添村大字北野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.99031517072345,34.68087652586975,5.986168028311662,555.0,山添村大字北野,山添村北野,code_in_car30
29201838000,奈良市,邑地町,奈良市,邑地町,奈良市邑地町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,40.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.97461547402895,34.714901019597455,6.40811460228118,565.0,奈良市邑地町,奈良市邑地町,code_in_car30
29322020000,山添村,大字葛尾,山添村,大字葛尾,山添村大字葛尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.06297638198268,34.65522454551557,6.428844811537325,0.0,山添村大字葛尾,山添村葛尾,code_in_car30
29322021000,山添村,大字三ケ谷,山添村,大字三ケ谷,山添村大字三ケ谷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,53.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,136.0204821880491,34.65439786711434,6.670346897913061,1282.0,山添村大字三ケ谷,山添村三ケ谷,code_in_car30
29322026000,山添村,大字伏拝,山添村,大字伏拝,山添村大字伏拝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,135.99777553211982,34.66243581427189,6.8912887793906155,493.0,山添村大字伏拝,山添村伏拝,code_in_car30
29322005000,山添村,大字桐山,山添村,大字桐山,山添村大字桐山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.97435251124926,34.684897216594294,7.045568740488439,0.0,山添村大字桐山,山添村桐山,code_in_car30
29322022000,山添村,大字勝原,山添村,大字勝原,山添村大字勝原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.03450672589813,34.64813936966791,7.05254252083452,736.0,山添村大字勝原,山添村勝原,code_in_car30
29201841000,奈良市,北野山町,奈良市,北野山町,奈良市北野山町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.97086598102615,34.69130282848188,7.085122640603601,0.0,奈良市北野山町,奈良市北野山町,code_in_car30
