town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,ふじい内科クリニック,医療法人社団橘会 新生病院,のだ医院,まつながファミリークリニック,小林医院,むらせファミリークリニック,野原クリニック,大久保医院,小森内科クリニック,黒川胃腸科外科クリニック,たしろクリニック,クリニック ラポール,谷汲中央診療所,国枝医院,揖斐川町春日診療所,今村医院,ゆり形成内科整形おおの,高田医院,おおのクリニック,クリニックIB(アイビー),いび漢方クリニック,下野内科,神田外科医院,田中医院,揖斐川町久瀬診療所,岐阜県厚生農業協同組合連合会 岐阜・西濃医療センター 揖斐厚生病院
揖斐川町春日中山,揖斐川町,春日中山,21401043000,4.1165929331500495,136.4453852147268,35.4546788129712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町白樫,揖斐川町,白樫,21401022000,4.11771449074273,136.53020379069892,35.481357549438464,305.0,0.0,443.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町市場,揖斐川町,市場,21401023000,4.426979281549588,136.53610818886324,35.47421046329793,940.0,96.0,357.0,0.0,1514.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町舟子,池田町,舟子,21404015000,4.6897800581848985,136.53962624181986,35.46780180231322,487.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上野,揖斐川町,上野,21401021000,4.83715466000358,136.5240967217223,35.499848946299814,868.0,218.0,489.0,0.0,93.0,0.0,184.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0
池田町段,池田町,段,21404013000,5.263465793774969,136.5456951281188,35.46338871404058,40.0,64.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町般若畑,池田町,般若畑,21404014000,5.341957935735912,136.54562423076874,35.458256967541345,956.0,116.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町春日川合,揖斐川町,春日川合,21401042000,5.377859723696807,136.4484947482992,35.43168078491725,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0
揖斐川町黒田,揖斐川町,黒田,21401025000,5.579583377911828,136.5490708665649,35.47348533650667,1148.0,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町小島,揖斐川町,小島,21401020000,5.67812054279695,136.5476467191072,35.48324619623047,165.0,0.0,0.0,0.0,168.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0
揖斐川町春日美束,揖斐川町,春日美束,21401044000,5.870292837558222,136.43325403819912,35.49638157271555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町新宮,揖斐川町,新宮,21401026000,5.911494593805538,136.5518540631339,35.478321950466615,74.0,0.0,1377.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町願成寺,池田町,願成寺,21404011000,5.925217082851474,136.54849364390265,35.44793113311561,1098.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町宮地,池田町,宮地,21404016000,6.036147808531743,136.55325967102058,35.457520817353085,1205.0,404.0,87.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町岡,揖斐川町,岡,21401027000,6.204828141316794,136.55593837443644,35.47406848644642,162.0,0.0,93.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町三倉,揖斐川町,三倉,21401052000,6.286205463717619,136.51610477024795,35.5195364161127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町藤代,池田町,藤代,21404033000,6.360757731408591,136.54428123712503,35.433863865770874,641.0,273.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町房島,揖斐川町,房島,21401005000,6.3993705157490925,136.55257882036517,35.49098462744341,297.0,0.0,1601.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町外津汲,揖斐川町,外津汲,21401051000,6.467713418793173,136.49688948163907,35.52559577527417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町小寺,池田町,小寺,21404032000,6.495649929446395,136.55028865076483,35.439178384414774,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町小牛,池田町,小牛,21404012000,6.495685620032057,136.5570842454783,35.4526801328583,1203.0,55.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町沓井,池田町,沓井,21404023000,6.5555376576272755,136.56022253676517,35.46867400568561,1874.0,57.0,1098.0,0.0,290.0,321.0,0.0,63.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,60.0,54.0,0.0,78.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0
揖斐川町上岡島,揖斐川町,上岡島,21401013002,6.850860272054141,136.56225303274977,35.47901525674263,58.0,39.0,273.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上東野,揖斐川町,上東野,21401019000,6.8595713469526345,136.5616321344348,35.48184120174897,0.0,0.0,662.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町田中,池田町,田中,21404022000,6.955035788818253,136.56385274469972,35.45899082794895,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町和田,揖斐川町,和田,21401028000,6.956554532809704,136.56409722586085,35.47545869057872,0.0,0.0,136.0,0.0,136.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町草深,池田町,草深,21404031000,7.112563278911209,136.56047452500587,35.44358755832042,499.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町北方,揖斐川町,北方,21401001000,7.260986930447251,136.54501906896812,35.51368814010517,0.0,0.0,2142.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,113.0
池田町粕ケ原,池田町,粕ケ原,21404021000,7.265702267027038,136.5677613953637,35.46219735613626,986.0,564.0,124.0,125.0,67.0,68.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,96.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
池田町山洞,池田町,山洞,21404034000,7.296176744891997,136.55914950829427,35.43738159564232,397.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上岡島,揖斐川町,上岡島,21401013001,7.352542431236065,136.5674698740775,35.480821714030434,0.0,0.0,176.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町本郷,池田町,本郷,21404037000,7.58882543227255,136.56822129912604,35.44863531913936,7635.0,1505.0,605.0,0.0,302.0,606.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,77.0,105.0,69.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町片山,池田町,片山,21404052000,7.652355892164767,136.54952151951906,35.420877027630056,2430.0,1336.0,197.0,93.0,488.0,259.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町下岡島,揖斐川町,下岡島,21401012000,7.773406082851963,136.57268509446138,35.47852215522462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
垂井町梅谷,垂井町,梅谷,21361009000,7.913966704452309,136.53365769532803,35.40730180620489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町極楽寺,揖斐川町,極楽寺,21401002000,7.9176572246291865,136.5700729394865,35.492108816945375,73.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町青柳,池田町,青柳,21404035000,8.015988829375326,136.56920581640833,35.43954302088259,901.0,258.0,141.0,0.0,361.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,138.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町萩原,池田町,萩原,21404047000,8.022867235663751,136.5744499970509,35.45275685102199,948.0,1405.0,0.0,0.0,51.0,303.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町三輪,揖斐川町,三輪,21401006000,8.04944249308239,136.57378780112538,35.4863832427931,309.0,0.0,3458.0,0.0,689.0,175.0,841.0,0.0,0.0,0.0,178.0,0.0,175.0,0.0,83.0,0.0,0.0,0.0,0.0,367.0,485.0,0.0,0.0,0.0,0.0,0.0
池田町田畑,池田町,田畑,21404038000,8.109661878972826,136.5656952081321,35.43188863975447,1652.0,469.0,197.0,0.0,299.0,259.0,55.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町脛永,揖斐川町,脛永,21401018000,8.143519159953867,136.57775626108108,35.468844493860146,932.0,908.0,1103.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町六之井,池田町,六之井,21404048000,8.322344143802768,136.5736225077565,35.441082568668975,2640.0,1912.0,230.0,0.0,280.0,1903.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上ミ野,揖斐川町,上ミ野,21401011000,8.406972968615419,136.57968028222518,35.478957218626434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町若松,揖斐川町,若松,21401004000,8.430133619340127,136.5645787084904,35.51083815162319,64.0,0.0,714.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町上南方,揖斐川町,上南方,21401003000,8.499686325722433,136.57174408297914,35.50218321340659,133.0,531.0,2755.0,0.0,55.0,0.0,225.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町大光寺,揖斐川町,大光寺,21401007000,8.68435132375482,136.57860231517122,35.49314200138638,0.0,0.0,0.0,0.0,59.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町池野,池田町,池野,21404036000,8.689597548127644,136.57621495946506,35.43749156768068,1379.0,3547.0,0.0,0.0,0.0,1212.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町乙原,揖斐川町,乙原,21401045000,8.853820333001774,136.53067148933948,35.53948280078252,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町上田,池田町,上田,21404041000,8.8586569218281,136.58363940844595,35.45182776785869,876.0,468.0,129.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町日坂,揖斐川町,日坂,21401049000,9.087719821435321,136.44796765860556,35.542904124040234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
