TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,まえだクリニック,サン・ラポール南房総診療所,医療法人社団 慈永会 永峯医院,医療法人社団 雄成会 中村医院,医療法人社団周晴会 鈴木病院,医療法人社団芙蓉会 千葉芙蓉病院,君津サンクリニック,君津市国保小櫃診療所,君津市国保松丘診療所,君津市国保笹診療所,平岡医院,榎本医院,社会医療法人社団さつき会 かずさアカデミアクリニック,鴨川市立国保病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
12225141300,君津市,川俣旧押込,君津市,川俣旧押込,君津市川俣旧押込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.08395105440474,35.22381575658287,4.364845453743355,0.0,君津市川俣旧押込,君津市川俣旧押込,code_in_car30
12225063000,君津市,大野台,君津市,大野台,君津市大野台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.01279310007655,35.27243439374136,4.545391843746536,704.0,君津市大野台,君津市大野台,code_in_car30
12225110000,君津市,久留里,君津市,久留里,君津市久留里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.0,0.0,287.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,140.08878505805617,35.291024050985705,4.5748601998632585,1422.0,君津市久留里,君津市久留里,code_in_car30
12225138000,君津市,坂畑,君津市,坂畑,君津市坂畑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,72.0,0.0,140.10615984626557,35.241920888482,4.5862641040721,252.0,君津市坂畑,君津市坂畑,code_in_car30
12225108000,君津市,久留里市場,君津市,久留里市場,君津市久留里市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,0.0,1783.0,76.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4902.0,0.0,140.07929684147246,35.29575561365407,4.61208220624902,7082.0,君津市久留里市場,君津市久留里市場,code_in_car30
12225079000,君津市,東粟倉,君津市,東粟倉,君津市東粟倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,140.0102955244029,35.24199190228319,4.786987941918234,191.0,君津市東粟倉,君津市東粟倉,code_in_car30
12225141100,君津市,川俣旧川俣,君津市,川俣旧川俣,君津市川俣旧川俣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,140.08532682364884,35.219359405869184,4.856993568082301,527.0,君津市川俣旧川俣,君津市川俣旧川俣,code_in_car30
12225099000,君津市,寺沢,君津市,寺沢,君津市寺沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2188.0,0.0,140.05091612188832,35.30159708599017,4.955315566240125,2693.0,君津市寺沢,君津市寺沢,code_in_car30
12225141200,君津市,川俣旧月毛,君津市,川俣旧月毛,君津市川俣旧月毛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,140.07930033424572,35.215084487919675,5.057900114074736,158.0,君津市川俣旧月毛,君津市川俣旧月毛,code_in_car30
12225088000,君津市,正木,君津市,正木,君津市正木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,63.0,0.0,0.0,39.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.03185336488215,35.21803512803741,5.060549839321714,171.0,君津市正木,君津市正木,code_in_car30
12225087000,君津市,大岩,君津市,大岩,君津市大岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,98.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.02355789657216,35.22215379465438,5.112039678478449,186.0,君津市大岩,君津市大岩,code_in_car30
12225086000,君津市,辻森,君津市,辻森,君津市辻森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.018759366087,35.2257606433505,5.115010020015164,0.0,君津市辻森,君津市辻森,code_in_car30
12225100000,君津市,青柳,君津市,青柳,君津市青柳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.06873528311934,35.30368537436364,5.195852483631796,295.0,君津市青柳,君津市青柳,code_in_car30
