TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,いちいクリニック内科・皮膚科,いとうクリニック,おおはしアイクリニック,ぶんかばしファミリークリニック,今市病院,医療法人 博友会 日光腎クリニック,吉原医院,学校法人獨協学園 獨協医科大学日光医療センター,小沢医院,小泉内科クリニック,小西医院,山﨑内科医院,岡医院,岡村整形外科,川上病院,新沢外科,日光市民病院,日光市立小来川診療所,日光野口病院,木村内科医院,本町内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,森病院,沼尾医院,熊谷医院,石塚クリニック,荒井腎クリニック,藤原医院,見龍堂クリニックかわせみ,見龍堂医療福祉総合クリニック,阿久津医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
09206076000,日光市,室瀬,日光市,室瀬,日光市室瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.70026318759992,36.701813425556914,8.025963790702082,0.0,日光市室瀬,日光市室瀬,code_in_car30
09206074001,日光市,千本木,日光市,千本木,日光市千本木,栃木県,日光市,千本木,,日光市千本木,9206.0,74001.0,4.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6836008193675,36.718628242786316,8.084563196500506,0.0,日光市千本木,日光市千本木,code_in_car30
09206075000,日光市,下の内,日光市,下の内,日光市下の内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.69190268922077,36.71204166486274,8.095612267804327,0.0,日光市下の内,日光市下の内,code_in_car30
09206059000,日光市,七里,日光市,七里,日光市七里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,0.0,33.0,0.0,389.0,31.0,31.0,1278.0,0.0,38.0,0.0,0.0,154.0,240.0,0.0,0.0,602.0,0.0,183.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,823.0,77.0,0.0,65.0,139.63594530375585,36.73692060346693,8.15654797547742,4489.0,日光市七里,日光市七里,code_in_car30
09206074002,日光市,千本木,日光市,千本木,日光市千本木,栃木県,日光市,千本木,,日光市千本木,9206.0,74002.0,4.0,61.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,6.0,7.0,4.0,3.0,2.0,5.0,7.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.68510231785194,36.71901823436159,8.20617959385278,86.0,日光市千本木,日光市千本木,code_in_car30
09206074003,日光市,千本木,日光市,千本木,日光市千本木,栃木県,日光市,千本木,,日光市千本木,9206.0,74003.0,4.0,167.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,10.0,5.0,12.0,11.0,12.0,11.0,30.0,17.0,9.0,14.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,59.0,77.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,139.68710973655476,36.717649752070734,8.216661080849061,449.0,日光市千本木,日光市千本木,code_in_car30
09206082001,日光市,小代,日光市,小代,日光市小代,栃木県,日光市,小代,,日光市小代,9206.0,82001.0,4.0,999.0,22.0,36.0,44.0,44.0,31.0,29.0,37.0,41.0,53.0,83.0,63.0,66.0,70.0,105.0,107.0,71.0,41.0,40.0,13.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,9.0,10.0,8.0,5.0,5.0,1.0,0.0,0.0,64.0,0.0,0.0,139.0,127.0,156.0,49.0,0.0,858.0,0.0,0.0,0.0,111.0,0.0,212.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,212.0,0.0,539.0,0.0,0.0,43.0,0.0,0.0,1236.0,139.71510788569063,36.656929935096734,8.22077431402585,3771.0,日光市小代,日光市小代,code_in_car30
09206073002,日光市,平ケ崎,日光市,平ケ崎,日光市平ケ崎,栃木県,日光市,平ケ崎,,日光市平ケ崎,9206.0,73002.0,4.0,263.0,10.0,10.0,10.0,10.0,5.0,7.0,15.0,14.0,15.0,13.0,18.0,15.0,19.0,18.0,22.0,26.0,14.0,15.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,722.0,0.0,0.0,40.0,51.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,139.68268188585787,36.72149405091547,8.272890800717938,1032.0,日光市平ケ崎,日光市平ケ崎,code_in_car30
09206073004,日光市,平ケ崎,日光市,平ケ崎,日光市平ケ崎,栃木県,日光市,平ケ崎,,日光市平ケ崎,9206.0,73004.0,4.0,292.0,7.0,12.0,7.0,8.0,15.0,13.0,19.0,15.0,19.0,12.0,15.0,22.0,32.0,25.0,30.0,10.0,16.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,139.6871114434302,36.71977088371551,8.388708477390848,1017.0,日光市平ケ崎,日光市平ケ崎,code_in_car30
09206073001,日光市,平ケ崎,日光市,平ケ崎,日光市平ケ崎,栃木県,日光市,平ケ崎,,日光市平ケ崎,9206.0,73001.0,4.0,244.0,5.0,3.0,6.0,5.0,11.0,7.0,10.0,5.0,15.0,16.0,13.0,16.0,20.0,23.0,33.0,16.0,14.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,82.0,139.68339185111745,36.722932751662135,8.436539445735898,1025.0,日光市平ケ崎,日光市平ケ崎,code_in_car30
