town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,学校法人獨協学園 獨協医科大学日光医療センター,今市病院,日光市民病院,岡村整形外科,阿久津医院,ぶんかばしファミリークリニック,石塚クリニック,藤原医院,吉原医院,見龍堂医療福祉総合クリニック,おおはしアイクリニック,山﨑内科医院,熊谷医院,いちいクリニック内科・皮膚科,日光野口病院,見龍堂クリニックかわせみ,新沢外科,医療法人 博友会 日光腎クリニック,木村内科医院,森病院,岡医院,川上病院,沼尾医院,小泉内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,小沢医院,本町内科クリニック,小西医院,いとうクリニック,荒井腎クリニック,日光市立小来川診療所
日光市平ケ崎,日光市,平ケ崎,09206073001,8.436539445735898,139.68339185111745,36.722932751662135,34.0,758.0,47.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
日光市今市,日光市,今市,09206071023,8.444569066783794,139.69060125330944,36.717773385377555,418.0,65.0,65.0,0.0,64.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
日光市平ケ崎,日光市,平ケ崎,09206073006,8.524587086742892,139.6949055785173,36.71514709140608,334.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071006,8.599649876504339,139.68660792280448,36.72267639294572,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071012,8.605034622666711,139.68515388942973,36.723731212351815,189.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市明神,日光市,明神,09206084002,8.610495543316262,139.71940995459974,36.67236926697317,0.0,144.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,180.0,20.0,0.0,49.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市中央町,日光市,中央町,09206144000,8.623136936669793,139.68970124632426,36.72071833055136,532.0,1366.0,282.0,152.0,120.0,0.0,0.0,60.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市瀬川,日光市,瀬川,09206072003,8.627968327018886,139.67095568905478,36.73183804393404,547.0,637.0,226.0,417.0,205.0,136.0,0.0,33.0,0.0,0.0,111.0,0.0,0.0,151.0,0.0,64.0,73.0,98.0,113.0,33.0,0.0,207.0,0.0,0.0,41.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
日光市平ケ崎,日光市,平ケ崎,09206073005,8.634089700282335,139.69616346644392,36.715492638160796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071017,8.637201159816547,139.68141781551475,36.72646499093791,474.0,71.0,811.0,200.0,265.0,0.0,0.0,0.0,104.0,0.0,502.0,0.0,0.0,71.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0
日光市平ケ崎,日光市,平ケ崎,09206073007,8.654617487781364,139.69814869760427,36.71390986324015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071016,8.656572244367036,139.68374779412915,36.725245299753574,0.0,883.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市吉沢,日光市,吉沢,09206077001,8.69172333722119,139.6968055293521,36.715691566060656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071003,8.710590342099044,139.68778189593067,36.72317947400541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071011,8.754249302568942,139.68590496800365,36.72497536255583,332.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071002,8.792458235935166,139.6875192747347,36.72433607356422,38.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0
日光市若杉町,日光市,若杉町,09206038000,8.794264812199623,139.62213926092215,36.743342154976226,216.0,323.0,208.0,504.0,30.0,0.0,109.0,241.0,0.0,32.0,30.0,0.0,0.0,415.0,50.0,29.0,0.0,0.0,0.0,77.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市並木町,日光市,並木町,09206119000,8.810825206203475,139.69462266627278,36.7191867872714,451.0,1251.0,60.0,209.0,468.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,124.0,0.0,0.0,55.0,223.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市小代,日光市,小代,09206082002,8.814046347909565,139.72207945402934,36.660107767408014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071001,8.828674781017934,139.689108345463,36.723657664846534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市瀬川,日光市,瀬川,09206072002,8.831456262935662,139.681055945114,36.72884240859145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
