TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,はらクリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,下田メディカルセンター附属みなとクリニック,佐倉医院,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人社団桑寿会 下田温泉病院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,小川クリニック,市之瀬診療所,河井医院,白津医院,臼井医院,菊池医院,鈴木クリニック,飯島医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22219037000,下田市,西中,下田市,西中,下田市西中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,71.0,0.0,798.0,125.0,368.0,0.0,72.0,0.0,0.0,97.0,0.0,485.0,97.0,0.0,0.0,0.0,259.0,0.0,83.0,258.0,46.0,0.0,138.9414637873699,34.68941188691693,0.9445767480365087,2759.0,下田市西中,下田市西中,code_in_car30
22219036000,下田市,中,下田市,中,下田市中,静岡県,下田市,中,,下田市中,22219.0,36000.0,36000.0,4.0,444,28.55943000000001,9.0,10.0,8.0,13.0,13.0,19.0,17.0,23.0,27.0,43.0,33.0,26.0,29.0,30.0,46.0,32.0,34.0,20.0,6.0,2.0,0.0,0.3411,0.5196,0.2944,0.31967,0.30771,0.53903,0.5441699999999999,0.7711899999999999,0.94527,1.68216,1.45035,1.49526,1.8328,2.4303,4.3217,3.58304,4.0834,2.2966,0.6012599999999999,0.20042,0.0,4346.0,総数,,,,4,27,243,170,94,28,260,23818,54.63182,0.0,0.0,0.0,0.0,271.0,216.0,539.0,0.0,220.0,51.0,181.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,189.0,0.0,31.0,49.0,106.0,0.0,138.95095283542167,34.68301326943528,0.9660401033440851,2447.0,下田市中,下田市中,code_in_car30
22219016000,下田市,六丁目,下田市,六丁目,下田市六丁目,静岡県,下田市,六丁目,,下田市六丁目,22219.0,16000.0,16000.0,4.0,1561,102.27826000000002,40.0,62.0,37.0,40.0,59.0,69.0,62.0,58.0,71.0,96.0,106.0,131.0,94.0,118.0,162.0,140.0,103.0,61.0,31.0,5.0,1.0,1.516,3.22152,1.3616,0.9836,1.39653,1.95753,1.98462,1.94474,2.48571,3.75552,4.6587000000000005,7.53381,5.9408,9.55918,15.2199,15.6758,12.3703,7.00463,3.1065099999999997,0.50105,0.10021,4328.0,総数,,,,15,139,786,621,341,98,864,82702,53.99418,0.0,0.0,85.0,95.0,1264.0,985.0,3810.0,0.0,427.0,0.0,0.0,0.0,95.0,972.0,0.0,197.0,0.0,0.0,1814.0,0.0,98.0,90.0,97.0,0.0,138.93333565453526,34.67458763535051,0.9755384706104562,10029.0,下田市六丁目,下田市六丁目,code_in_car30
22219061000,下田市,武ガ浜,下田市,武ガ浜,下田市武ガ浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.94802235029104,34.67402365937963,1.02019671014175,66.0,下田市武ガ浜,下田市武ガ浜,code_in_car30
22219027000,下田市,高馬,下田市,高馬,下田市高馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,37.0,0.0,105.0,95.0,139.0,0.0,0.0,0.0,0.0,0.0,156.0,43.0,46.0,0.0,0.0,37.0,122.0,0.0,0.0,312.0,34.0,0.0,138.938562373166,34.68996753241746,1.0224572289007874,1126.0,下田市高馬,下田市高馬,code_in_car30
22219016001,下田市,六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,下田市六丁目（旧岡方村）,静岡県,下田市,六丁目,（旧岡方村）,下田市六丁目（旧岡方村）,22219.0,16001.0,16001.0,4.0,469,28.09474,15.0,14.0,23.0,24.0,17.0,9.0,16.0,12.0,31.0,54.0,42.0,28.0,31.0,37.0,40.0,35.0,24.0,8.0,5.0,2.0,0.0,0.5685,0.72744,0.8464,0.59016,0.40239,0.25533,0.51216,0.4023599999999999,1.08531,2.11248,1.8459,1.61028,1.9592000000000005,2.99737,3.758,3.91895,2.8824,0.91864,0.50105,0.20042,0.0,4329.0,総数,,,,2,52,264,151,74,15,277,23348,50.49572,0.0,0.0,0.0,0.0,169.0,0.0,891.0,0.0,1143.0,0.0,0.0,88.0,143.0,832.0,0.0,0.0,0.0,0.0,516.0,0.0,123.0,178.0,144.0,0.0,138.92813102629066,34.681419906639086,1.1498819458024816,4227.0,下田市六丁目（旧岡方村）,下田市六丁目,code_in_car30
22219016002,下田市,六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,下田市六丁目（旧岡方村）,静岡県,下田市,六丁目,（旧岡方村）,下田市六丁目（旧岡方村）,22219.0,16002.0,16002.0,4.0,96,5.904869999999999,1.0,6.0,5.0,2.0,2.0,4.0,2.0,6.0,6.0,3.0,4.0,12.0,12.0,11.0,10.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0379,0.31176,0.184,0.04918,0.04734,0.11348,0.06402,0.2011799999999999,0.21006,0.11736,0.1758,0.69012,0.7584000000000001,0.89111,0.9395,0.78379,0.0,0.22966,0.10021,0.0,0.0,4330.0,総数,,,,-,12,53,31,10,3,62,4867,51.19792,0.0,0.0,57.0,0.0,0.0,452.0,295.0,0.0,168.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,59.0,127.0,0.0,0.0,138.9279490189307,34.676756369444,1.2547787646617237,1253.0,下田市六丁目（旧岡方村）,下田市六丁目,code_in_car30
22219036001,下田市,中（中）,下田市,中（中）,下田市中（中）,静岡県,下田市,中,（中）,下田市中（中）,22219.0,36001.0,36001.0,4.0,125,8.72761,2.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,6.0,10.0,10.0,8.0,7.0,13.0,12.0,14.0,9.0,6.0,4.0,0.0,0.0,0.0758,0.10392,0.1472,0.07377,0.02367,0.11348,0.1600499999999999,0.16765,0.21006,0.3912,0.4395,0.46008,0.4424,1.05313,1.1274000000000002,1.56758,1.0809,0.68898,0.40084,0.0,0.0,4347.0,総数,,,,-,8,59,58,33,10,69,7168,57.844,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,209.0,0.0,0.0,62.0,0.0,0.0,138.94824553360834,34.69114104197857,1.3279039427794554,489.0,下田市中（中）,下田市中,code_in_car30
22219035000,下田市,立野,下田市,立野,下田市立野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,600.0,36.0,732.0,0.0,233.0,0.0,78.0,0.0,43.0,396.0,0.0,0.0,0.0,0.0,54.0,0.0,83.0,0.0,390.0,0.0,138.93466669473153,34.69182231240192,1.329521017909741,2645.0,下田市立野,下田市立野,code_in_car30
22219015000,下田市,五丁目,下田市,五丁目,下田市五丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,60.0,0.0,234.0,0.0,137.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,119.0,0.0,391.0,0.0,0.0,0.0,158.0,0.0,138.936728600152,34.66859091851725,1.4202907214258238,1243.0,下田市五丁目,下田市五丁目,code_in_car30
