TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,佐藤医院,医療法人社団正仁会 加藤内科,戸田診療所,海瀬医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22222054015,伊豆市,小土肥,伊豆市,小土肥,伊豆市小土肥,静岡県,伊豆市,小土肥,,伊豆市小土肥,22222.0,54015.0,54015.0,4.0,85,6.02515,1.0,2.0,4.0,3.0,1.0,1.0,0.0,3.0,11.0,5.0,3.0,1.0,8.0,11.0,8.0,8.0,6.0,5.0,3.0,1.0,0.0,0.0379,0.10392,0.1472,0.07377,0.02367,0.02837,0.0,0.1005899999999999,0.38511,0.1956,0.13185,0.05751,0.5056,0.89111,0.7516,0.89576,0.7206,0.57415,0.3006299999999999,0.10021,0.0,4561.0,総数,,,,-,7,36,42,23,9,44,4915,58.32353,0.0,0.0,0.0,0.0,138.7861614162529,34.923862240339986,5.5811078855331,0.0,伊豆市小土肥,伊豆市小土肥,code_in_car30
22222054017,伊豆市,小土肥,伊豆市,小土肥,伊豆市小土肥,静岡県,伊豆市,小土肥,,伊豆市小土肥,22222.0,54017.0,54017.0,4.0,71,5.606860000000001,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,10.0,12.0,4.0,8.0,6.0,2.0,2.0,0.0,0.0,0.05196,0.0368,0.0,0.02367,0.05674,0.06402,0.1005899999999999,0.10503,0.11736,0.13185,0.23004,0.2528,0.8101,1.1274000000000002,0.44788,0.9608,0.68898,0.20042,0.20042,0.0,4563.0,総数,,,,-,2,25,44,22,10,35,4566,64.80986,0.0,93.0,0.0,0.0,138.8018297237598,34.92600923419198,5.722639495481883,93.0,伊豆市小土肥,伊豆市小土肥,code_in_car30
22222054016,伊豆市,小土肥,伊豆市,小土肥,伊豆市小土肥,静岡県,伊豆市,小土肥,,伊豆市小土肥,22222.0,54016.0,54016.0,4.0,97,8.94494,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,4.0,7.0,7.0,10.0,9.0,15.0,21.0,7.0,1.0,0.0,0.05196,0.0368,0.04918,0.0,0.0,0.0,0.1005899999999999,0.10503,0.07824,0.04395,0.17253,0.2528,0.56707,0.6576500000000001,1.1197,1.0809,1.72245,2.1044099999999997,0.7014699999999999,0.10021,4562.0,総数,,,,-,2,18,77,63,44,23,7370,76.47938,0.0,0.0,0.0,0.0,138.79142838842586,34.92174289565053,5.8959447560104525,0.0,伊豆市小土肥,伊豆市小土肥,code_in_car30
22222054014,伊豆市,小土肥,伊豆市,小土肥,伊豆市小土肥,静岡県,伊豆市,小土肥,,伊豆市小土肥,22222.0,54014.0,54014.0,4.0,83,5.6925300000000005,3.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,6.0,4.0,8.0,6.0,11.0,5.0,6.0,6.0,5.0,2.0,1.0,0.0,0.1137,0.15588,0.1472,0.02459,0.02367,0.11348,0.03201,0.13412,0.07002,0.23472,0.1758,0.46008,0.3792,0.89111,0.46975,0.67182,0.7206,0.57415,0.20042,0.10021,0.0,4560.0,総数,,,,-,10,37,36,20,8,47,4567,55.5241,0.0,0.0,0.0,0.0,138.78702139800896,34.92022560320896,5.992400103459944,0.0,伊豆市小土肥,伊豆市小土肥,code_in_car30
22203085000,沼津市,西浦古宇,沼津市,西浦古宇,沼津市西浦古宇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,138.83795367901914,34.998316690051475,6.120620899881929,0.0,沼津市西浦古宇,沼津市西浦古宇,code_in_car30
22203087000,沼津市,西浦久料,沼津市,西浦久料,沼津市西浦久料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,138.82387291068514,35.01723428843591,6.407926688302451,0.0,沼津市西浦久料,沼津市西浦久料,code_in_car30
22222053001,伊豆市,土肥,伊豆市,土肥,伊豆市土肥,静岡県,伊豆市,土肥,,伊豆市土肥,22222.0,53001.0,53001.0,4.0,283,20.752920000000003,3.0,5.0,6.0,4.0,6.0,10.0,14.0,7.0,8.0,11.0,15.0,23.0,27.0,37.0,26.0,33.0,21.0,13.0,13.0,1.0,0.0,0.1137,0.2598,0.2208,0.09836,0.14202,0.2837,0.44814,0.2347099999999999,0.28008,0.43032,0.65925,1.32273,1.7064,2.99737,2.4427000000000003,3.69501,2.5221,1.49279,1.30273,0.10021,0.0,4546.0,総数,,,,-,14,125,144,81,27,158,16950,60.39399,0.0,425.0,0.0,0.0,138.79053459020764,34.915950188775625,6.512396219692397,425.0,伊豆市土肥,伊豆市土肥,code_in_car30
22203086000,沼津市,西浦足保,沼津市,西浦足保,沼津市西浦足保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,138.83355142643717,35.012869265450924,6.689218977311326,0.0,沼津市西浦足保,沼津市西浦足保,code_in_car30
22222053002,伊豆市,土肥,伊豆市,土肥,伊豆市土肥,静岡県,伊豆市,土肥,,伊豆市土肥,22222.0,53002.0,53002.0,4.0,405,29.26449,8.0,7.0,12.0,11.0,7.0,14.0,10.0,14.0,28.0,19.0,19.0,20.0,27.0,50.0,49.0,39.0,31.0,25.0,12.0,3.0,0.0,0.3032,0.36372,0.4416,0.27049,0.16569,0.39718,0.3200999999999999,0.4694199999999999,0.98028,0.74328,0.8350500000000001,1.1502,1.7064,4.0504999999999995,4.60355,4.36683,3.7231,2.87075,1.2025199999999998,0.3006299999999999,0.0,4547.0,総数,,,,-,27,169,209,110,40,208,23637,58.86296,0.0,78.0,0.0,0.0,138.7928656931837,34.91355939104088,6.8135032374408295,78.0,伊豆市土肥,伊豆市土肥,code_in_car30
22222053003,伊豆市,土肥,伊豆市,土肥,伊豆市土肥,静岡県,伊豆市,土肥,,伊豆市土肥,22222.0,53003.0,53003.0,4.0,123,8.44567,4.0,3.0,4.0,6.0,0.0,1.0,2.0,8.0,5.0,9.0,8.0,13.0,9.0,5.0,15.0,11.0,9.0,4.0,6.0,0.0,1.0,0.1516,0.15588,0.1472,0.14754,0.0,0.02837,0.06402,0.26824,0.1750499999999999,0.35208,0.3516,0.74763,0.5688000000000001,0.40505,1.40925,1.23167,1.0809,0.45932,0.6012599999999999,0.0,0.10021,4548.0,総数,,,,-,11,61,51,31,11,60,6922,56.77642,0.0,0.0,0.0,0.0,138.79523647113464,34.9130569086776,6.914352532739527,0.0,伊豆市土肥,伊豆市土肥,code_in_car30
