town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 伊豆今井浜病院,臼井医院,上の山鎮目クリニック,菊池医院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,公益社団法人地域医療振興協会 いなずさ診療所,医療法人社団健育会 熱川温泉病院,のぞみ記念 下田循環器・腎臓クリニック,太田整形外科,医療法人社団康心会 康心会伊豆東部病院,公益社団法人地域医療振興協会 上河津診療所,かわづクリニック,佐藤医院,医療法人社団桑寿会 下田温泉病院,小川クリニック,熱川クリニック,豊寿園温泉医院,かとうクリニック
下田市大沢,下田市,大沢,00222190340,8.656746693702134,138.91487648429867,34.702977590512816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市横川,下田市,横川,00222190450,8.821084384168705,138.89313503798377,34.71314462920315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中（中）,下田市,中（中）,22219036001,9.114108146780273,138.94824553360834,34.69114104197857,0.0,209.0,121.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市立野,下田市,立野,00222190350,9.228672472435427,138.93466669473153,34.69182231240192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,00222190710,9.332764918832229,138.96542917502885,34.68917784571961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市高馬,下田市,高馬,00222190270,9.360260509795195,138.938562373166,34.68996753241746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西中,下田市,西中,00222190370,9.377891015256669,138.9414637873699,34.68941188691693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町片瀬,東伊豆町,片瀬,00223010030,9.454911524632369,139.0484920441866,34.8122467320954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東中,下田市,東中,00222190380,9.47908429471954,138.94574869432597,34.68804125746886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市湯ケ島,伊豆市,湯ケ島,00222220590,9.612741335799775,138.92718381064944,34.855774818546884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大沢,下田市,大沢,00222190330,9.778794642473214,138.9094416722458,34.693929999460856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,9.812637357475525,138.94319161173854,34.68526730369039,465.0,205.0,306.0,112.0,179.0,0.0,174.0,74.0,0.0,61.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,9.880681174325112,138.9456556827099,34.68441780190783,209.0,253.0,516.0,40.0,60.0,122.0,88.0,0.0,49.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市加増野,下田市,加増野,00222190460,9.89165433150787,138.8684346769966,34.721367694098724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,9.906366008011174,138.93939051007678,34.68486821301736,129.0,205.0,246.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中,下田市,中,22219036000,9.998687144340396,138.95095283542167,34.68301326943528,539.0,189.0,271.0,594.0,31.0,216.0,49.0,0.0,106.0,181.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,10.229485646315108,138.94288754201767,34.681520346515626,667.0,0.0,0.0,105.0,102.0,205.0,125.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市敷根,下田市,敷根,00222190210,10.306299369550134,138.93575574067614,34.68174226463278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,10.351926872850568,138.9457357406586,34.68015184674674,396.0,0.0,28.0,29.0,110.0,92.0,68.0,80.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町奈良本,東伊豆町,奈良本,00223010040,10.451347653068169,139.0477464883348,34.82984009728318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016001,10.493241637403582,138.92813102629066,34.681419906639086,891.0,516.0,169.0,832.0,123.0,0.0,178.0,143.0,144.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市一丁目,下田市,一丁目,00222190110,10.736248936406769,138.94397371192036,34.67682724590667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
