town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,公益社団法人地域医療振興協会 伊豆今井浜病院,下田メディカルセンター,医療法人社団健育会 熱川温泉病院,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 上河津診療所,医療法人社団康心会 康心会伊豆東部病院,上の山鎮目クリニック,菊池医院,臼井医院,かわづクリニック,熱川クリニック,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,太田整形外科,医療法人社団桑寿会 下田温泉病院,鈴木クリニック,公益社団法人地域医療振興協会 伊豆下田診療所,豊寿園温泉医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック
河津町見高,河津町,見高,22302011000,5.8293092544250875,139.01903455433103,34.76133802324197,1199.0,0.0,81.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市椎原,下田市,椎原,22219043000,6.324819018104706,138.92020791504152,34.72450333314504,76.0,0.0,0.0,76.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市荒増,下田市,荒増,22219047002,6.363052891469701,138.9376431678621,34.71778135262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町稲取,東伊豆町,稲取,22301001000,6.485154726561317,139.02341413298493,34.792927571865334,4392.0,435.0,2861.0,1064.0,0.0,1708.0,4867.0,686.0,87.0,376.0,1034.0,213.0,850.0,941.0,1478.0,0.0,0.0,267.0,671.0,0.0,0.0,0.0
下田市北湯ケ野,下田市,北湯ケ野,22219044000,6.583675428897085,138.899585902723,34.73676788160652,37.0,383.0,0.0,37.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,22219073000,6.908753413049901,138.97526407569057,34.71256332776926,0.0,480.0,0.0,482.0,0.0,0.0,0.0,0.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,下田市,相玉,22219047001,7.387151729161918,138.918253867565,34.7143927778382,0.0,0.0,0.0,205.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0
下田市河内,下田市,河内,22219031000,7.5924941637553145,138.9447027596351,34.705248862120285,792.0,712.0,123.0,1059.0,1098.0,54.0,63.0,388.0,127.0,523.0,0.0,0.0,83.0,187.0,0.0,0.0,976.0,417.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,22219072000,7.713754209248434,138.96463841547487,34.70373774374639,0.0,254.0,0.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0
東伊豆町白田,東伊豆町,白田,22301002000,8.107246339207235,139.03003405615615,34.813981119192306,1381.0,70.0,5655.0,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,156.0,984.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0
下田市蓮台寺,下田市,蓮台寺,22219032000,8.267551450024492,138.92733370256897,34.70249799786451,65.0,384.0,491.0,154.0,136.0,237.0,0.0,0.0,274.0,85.0,0.0,0.0,0.0,77.0,0.0,0.0,168.0,606.0,0.0,164.0,0.0,0.0
下田市大沢,下田市,大沢,22219034000,8.656746693702134,138.91487648429867,34.702977590512816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市横川,下田市,横川,22219045000,8.821084384168705,138.89313503798377,34.71314462920315,101.0,63.0,0.0,212.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中（中）,下田市,中（中）,22219036001,9.114108146780273,138.94824553360834,34.69114104197857,0.0,0.0,0.0,209.0,121.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市立野,下田市,立野,22219035000,9.228672472435427,138.93466669473153,34.69182231240192,396.0,732.0,41.0,54.0,600.0,0.0,0.0,36.0,0.0,83.0,0.0,0.0,0.0,78.0,40.0,0.0,390.0,43.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,22219071000,9.332764918832229,138.96542917502885,34.68917784571961,195.0,629.0,0.0,874.0,505.0,0.0,0.0,574.0,485.0,883.0,0.0,0.0,0.0,273.0,0.0,233.0,0.0,71.0,0.0,0.0,0.0,0.0
下田市高馬,下田市,高馬,22219027000,9.360260509795195,138.938562373166,34.68996753241746,43.0,139.0,0.0,122.0,105.0,0.0,0.0,95.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,34.0,156.0,0.0,0.0,37.0,0.0
下田市西中,下田市,西中,22219037000,9.377891015256669,138.9414637873699,34.68941188691693,485.0,368.0,0.0,259.0,798.0,97.0,0.0,125.0,258.0,83.0,0.0,0.0,0.0,0.0,71.0,97.0,46.0,0.0,0.0,0.0,71.0,0.0
東伊豆町片瀬,東伊豆町,片瀬,22301003000,9.454911524632369,139.0484920441866,34.8122467320954,822.0,0.0,2229.0,0.0,0.0,43.0,305.0,43.0,0.0,0.0,37.0,3354.0,0.0,0.0,1659.0,0.0,0.0,0.0,38.0,84.0,0.0,0.0
下田市東中,下田市,東中,22219038000,9.47908429471954,138.94574869432597,34.68804125746886,572.0,356.0,0.0,0.0,1030.0,0.0,60.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市湯ケ島,伊豆市,湯ケ島,22222059000,9.612741335799775,138.92718381064944,34.855774818546884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大沢,下田市,大沢,22219033000,9.778794642473214,138.9094416722458,34.693929999460856,935.0,1304.0,680.0,1496.0,761.0,157.0,215.0,353.0,158.0,680.0,620.0,90.0,115.0,281.0,0.0,428.0,204.0,0.0,0.0,0.0,0.0,139.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,9.812637357475525,138.94319161173854,34.68526730369039,112.0,465.0,0.0,205.0,306.0,0.0,58.0,0.0,174.0,179.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,9.880681174325112,138.9456556827099,34.68441780190783,40.0,209.0,289.0,253.0,516.0,0.0,0.0,122.0,88.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
下田市加増野,下田市,加増野,22219046000,9.89165433150787,138.8684346769966,34.721367694098724,374.0,0.0,865.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,9.906366008011174,138.93939051007678,34.68486821301736,0.0,129.0,0.0,205.0,246.0,0.0,0.0,0.0,0.0,1314.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中,下田市,中,22219036000,9.998687144340396,138.95095283542167,34.68301326943528,594.0,539.0,51.0,189.0,271.0,0.0,0.0,216.0,49.0,31.0,0.0,0.0,51.0,181.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,10.229485646315108,138.94288754201767,34.681520346515626,105.0,667.0,0.0,0.0,0.0,0.0,0.0,205.0,125.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0
下田市敷根,下田市,敷根,22219021000,10.306299369550134,138.93575574067614,34.68174226463278,0.0,267.0,0.0,452.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,10.351926872850568,138.9457357406586,34.68015184674674,29.0,396.0,0.0,0.0,28.0,0.0,37.0,92.0,68.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
東伊豆町奈良本,東伊豆町,奈良本,22301004000,10.451347653068169,139.0477464883348,34.82984009728318,1664.0,0.0,3153.0,465.0,0.0,483.0,1220.0,77.0,0.0,95.0,120.0,919.0,0.0,0.0,256.0,0.0,0.0,0.0,991.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016001,10.493241637403582,138.92813102629066,34.681419906639086,832.0,891.0,0.0,516.0,169.0,88.0,0.0,0.0,178.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,143.0,0.0,0.0,0.0,0.0
下田市一丁目,下田市,一丁目,22219011000,10.736248936406769,138.94397371192036,34.67682724590667,312.0,378.0,129.0,780.0,403.0,0.0,0.0,1804.0,1244.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
