都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
千葉県,市川市,本北方,三丁目,市川市本北方三丁目,12203,022003,4,1837.0,市川市,本北方三丁目,市川市本北方三丁目,12203022003,45.0,102.0,105.0,141.0,93.0,67.0,69.0,91.0,125.0,149.0,133.0,91.0,64.0,72.0,129.0,109.0,107.0,77.0,39.0,11.0,3.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,5.0,4.0,6.0,12.0,12.0,13.0,9.0,4.0,1.0,0.0,105.0
千葉県,市川市,国分,一丁目,市川市国分一丁目,12203,024001,4,1314.0,市川市,国分一丁目,市川市国分一丁目,12203024001,28.0,36.0,57.0,55.0,74.0,67.0,56.0,61.0,76.0,132.0,87.0,91.0,70.0,77.0,129.0,105.0,61.0,36.0,9.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,6.0,12.0,12.0,7.0,4.0,1.0,0.0,0.0,77.0
千葉県,市川市,国分,二丁目,市川市国分二丁目,12203,024002,4,1402.0,市川市,国分二丁目,市川市国分二丁目,12203024002,76.0,67.0,68.0,60.0,55.0,64.0,61.0,109.0,91.0,125.0,87.0,71.0,66.0,78.0,102.0,82.0,60.0,39.0,14.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,6.0,10.0,9.0,7.0,4.0,1.0,0.0,0.0,76.0
千葉県,市川市,国分,三丁目,市川市国分三丁目,12203,024003,4,1485.0,市川市,国分三丁目,市川市国分三丁目,12203024003,51.0,58.0,78.0,89.0,77.0,51.0,56.0,76.0,100.0,140.0,109.0,101.0,75.0,87.0,111.0,102.0,63.0,29.0,17.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,7.0,10.0,11.0,8.0,3.0,2.0,0.0,0.0,84.0
千葉県,市川市,国分,四丁目,市川市国分四丁目,12203,024004,4,967.0,市川市,国分四丁目,市川市国分四丁目,12203024004,39.0,43.0,36.0,44.0,75.0,52.0,47.0,62.0,68.0,73.0,46.0,62.0,59.0,49.0,72.0,53.0,29.0,29.0,13.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,7.0,6.0,3.0,3.0,1.0,0.0,0.0,51.0
千葉県,市川市,国分,五丁目,市川市国分五丁目,12203,024005,4,658.0,市川市,国分五丁目,市川市国分五丁目,12203024005,17.0,20.0,39.0,36.0,35.0,32.0,29.0,35.0,52.0,68.0,53.0,35.0,30.0,28.0,41.0,42.0,37.0,18.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,37.0
千葉県,市川市,国分,六丁目,市川市国分六丁目,12203,024006,4,245.0,市川市,国分六丁目,市川市国分六丁目,12203024006,9.0,14.0,8.0,16.0,11.0,14.0,6.0,20.0,19.0,17.0,14.0,17.0,13.0,17.0,16.0,17.0,9.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0
千葉県,市川市,国分,七丁目,市川市国分七丁目,12203,024007,4,232.0,市川市,国分七丁目,市川市国分七丁目,12203024007,5.0,3.0,11.0,12.0,8.0,8.0,8.0,11.0,17.0,13.0,14.0,11.0,19.0,13.0,26.0,23.0,13.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,14.0
千葉県,市川市,中国分,一丁目,市川市中国分一丁目,12203,025001,4,959.0,市川市,中国分一丁目,市川市中国分一丁目,12203025001,28.0,41.0,59.0,62.0,46.0,28.0,32.0,48.0,66.0,82.0,84.0,43.0,38.0,42.0,66.0,79.0,53.0,30.0,14.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,6.0,9.0,6.0,3.0,1.0,0.0,0.0,53.0
千葉県,市川市,中国分,二丁目,市川市中国分二丁目,12203,025002,4,1170.0,市川市,中国分二丁目,市川市中国分二丁目,12203025002,42.0,51.0,66.0,71.0,57.0,38.0,56.0,70.0,78.0,96.0,86.0,73.0,63.0,65.0,83.0,70.0,50.0,21.0,11.0,4.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,6.0,2.0,1.0,0.0,0.0,64.0
千葉県,市川市,中国分,三丁目,市川市中国分三丁目,12203,025003,4,1712.0,市川市,中国分三丁目,市川市中国分三丁目,12203025003,60.0,95.0,87.0,102.0,83.0,54.0,57.0,94.0,123.0,150.0,115.0,104.0,74.0,89.0,130.0,103.0,80.0,57.0,28.0,8.0,0.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,5.0,6.0,5.0,7.0,12.0,12.0,10.0,7.0,3.0,1.0,0.0,100.0
千葉県,市川市,中国分,四丁目,市川市中国分四丁目,12203,025004,4,1409.0,市川市,中国分四丁目,市川市中国分四丁目,12203025004,43.0,68.0,70.0,84.0,79.0,42.0,54.0,64.0,76.0,127.0,106.0,112.0,85.0,77.0,94.0,90.0,61.0,42.0,18.0,5.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0,6.0,5.0,6.0,9.0,10.0,7.0,5.0,2.0,1.0,0.0,82.0
千葉県,市川市,中国分,五丁目,市川市中国分五丁目,12203,025005,4,1981.0,市川市,中国分五丁目,市川市中国分五丁目,12203025005,83.0,83.0,95.0,78.0,86.0,72.0,95.0,107.0,131.0,160.0,132.0,112.0,108.0,128.0,165.0,142.0,112.0,50.0,18.0,12.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,6.0,7.0,10.0,16.0,16.0,13.0,6.0,2.0,1.0,0.0,117.0
千葉県,市川市,堀之内,一丁目,市川市堀之内一丁目,12203,026001,4,102.0,市川市,堀之内一丁目,市川市堀之内一丁目,12203026001,2.0,3.0,5.0,8.0,6.0,3.0,1.0,7.0,4.0,10.0,7.0,5.0,11.0,3.0,10.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
