town_name_show,dist_km,宇陀市立病院,くらもと胃腸科医院,奈良市都祁診療所,医療法人吉生会吉井整形外科医院,社会医療法人高清会　高井病院,鳥見眼科,医療法人飯岡会　のぞみ診療所,医療法人　山本診療所,公益財団法人　天理よろづ相談所病院,医療法人豊生会　加藤クリニック
宇陀市榛原天満台東四丁目,6.34589002488548,443.0,0.0,0.0,551.0,21.0,64.0,33.0,98.0,32.0,223.0
宇陀市室生三本松,6.4215814853828554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台東二丁目,6.437883755447524,838.0,0.0,0.0,426.0,408.0,241.0,112.0,322.0,211.0,443.0
天理市長滝町,6.454526886224302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台東三丁目,6.495307463879378,1234.0,26.0,0.0,800.0,0.0,676.0,402.0,634.0,45.0,246.0
宇陀市室生上笠間,6.513009771463378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原天満台西四丁目,6.528314300924237,990.0,40.0,0.0,1378.0,489.0,756.0,218.0,656.0,0.0,634.0
桜井市大字中谷,6.611436798064556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天理市上仁興町,6.614883852077014,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生大野,6.634786913756413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
