town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,くらもと胃腸科医院,たかはしファミリークリニック,八木医院,辻医院,社会医療法人高清会　高井病院,医療法人飯岡会　のぞみ診療所,いいおか医院,公益財団法人　天理よろづ相談所病院,医療法人宮城会宮城医院,クリニックせんざい,おおさかクリニック,宇陀市立病院,鹿子木診療所,医療法人厚生会奈良厚生会病院,原医院,みないち循環器内科・外科,医療法人吉生会吉井整形外科医院,奈良市立月ヶ瀬診療所,西村医院,医療法人社団岡田会山の辺病院,医療法人髙宮会 髙宮病院,鳥見眼科,吉川診療所,あさくらクリニック,牧浦内科,ニッタ（株）奈良工場診療所,医療法人　ふくしまクリニック,北村医院,医療法人智光会　城井内科医院,医療法人友永循環器医院,医療法人豊生会　加藤クリニック,医療法人　山本診療所,医療法人拓誠会辻村病院,医療法人谷口内科医院,医療法人新仁会奈良春日病院,よしこクリニック,奈良市都祁診療所,山内醫院,ささきクリニック,旧ひまわりクリニック,医療法人宣仁会白濱医院,グランソール奈良,医療法人　岩井メディカルクリニック,熊田内科クリニック,医療法人おのざき整形外科,塩田医院,社会医療法人畿内会　岡波総合病院,医療法人松山医院,奈良市立柳生診療所,医療法人萩乃里診療所,ますだ呼吸器科クリニック,寺西医院,宇陀市国民健康保険直営東里診療所,伊賀市立上野総合市民病院,社会福祉法人心境荘苑診療所,大浦内科クリニック,福井療院,社会福祉法人誠敬会ぬくもりクリニック田原本,奈良市立田原診療所,山添村国民健康保険波多野診療所
宇陀市室生向渕,宇陀市,室生向渕,29212134002,5.012782382349052,136.00067174295793,34.576220927937456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字芹井,桜井市,大字芹井,29206051000,5.128882065137612,135.9313538510571,34.56297474869839,0.0,0.0,0.0,0.0,0.0,114.0,108.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生上笠間,宇陀市,室生上笠間,29212150001,5.166206004264502,136.0138185949068,34.60430348997306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生向渕,宇陀市,室生向渕,29212134001,5.176048109389177,136.01135645407305,34.589954848388025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原戒場,宇陀市,榛原戒場,29212091000,5.215850937164999,135.9821819761674,34.56159518107138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市長谷町,奈良市,長谷町,29201819000,5.4049977831485,135.91426569933347,34.637052092451526,10.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
桜井市大字白木,桜井市,大字白木,29206050000,5.632373171962028,135.93455449474146,34.556783335839185,53.0,0.0,0.0,27.0,52.0,28.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原赤瀬,宇陀市,榛原赤瀬,29212094000,5.666251980209431,135.9608015462291,34.55294311676853,0.0,0.0,0.0,79.0,37.0,32.0,117.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,193.0,0.0,120.0,0.0,0.0,0.0,63.0,0.0,0.0,80.0,116.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市榛原額井,宇陀市,榛原額井,29212093000,5.712174847033765,135.97218678054955,34.55392045674816,0.0,0.0,0.0,18.0,0.0,60.0,18.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生上笠間,宇陀市,室生上笠間,29212150002,5.731216714022607,136.01910589849626,34.612491893964304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桜井市大字修理枝,桜井市,大字修理枝,29206054000,5.737307888980937,135.9061428445437,34.57410174960632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字切幡,山添村,大字切幡,29322025000,5.83523473260793,136.00746725749713,34.636297099233225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇陀市室生大野,宇陀市,室生大野,29212135001,5.8448340327553385,136.00775880740755,34.57153537798946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
