town_name_show,dist_km,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック,みどりが丘整形外科クリニック,ちば小児科アレルギー科クリニック,医療法人道坤会 菊池医院,白糠診療所
むつ市金曲二丁目,10.00262655439789,767.0,0.0,0.0,365.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字浜奥内,10.031564289672064,438.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市柳町一丁目,10.348452492525286,520.0,0.0,464.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市柳町二丁目,10.352180456096207,1757.0,535.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市金曲三丁目,10.354989120991373,2098.0,412.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市柳町三丁目,10.38256873477871,1399.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字小平舘の内尻釜,10.43605631983999,332.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
むつ市柳町四丁目,10.529469782929091,1633.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0
むつ市金曲一丁目,10.537961272498926,3755.0,1769.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市小川町二丁目,10.707999024625362,899.0,0.0,440.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字中野沢字中野沢,11.036275952651618,683.0,349.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
