TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,たなか泌尿器科クリニック,ちば小児科アレルギー科クリニック,みちのくクリニック,みどりが丘整形外科クリニック,むつ総合病院,中央クリニックモール,医療法人佑心会角田整形外科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人章士会 三上医院,医療法人道坤会 菊池医院,千田病院,村中内科・心療内科医院,東通地域医療センター 東通村診療所,白糠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
02208063001,むつ市,苫生一丁目,むつ市,苫生一丁目,むつ市苫生一丁目,青森県,むつ市,苫生,一丁目,むつ市苫生一丁目,2208,63001,4,449.0,23.0,27.0,19.0,18.0,14.0,35.0,31.0,42.0,39.0,32.0,26.0,23.0,37.0,30.0,21.0,11.0,9.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,113.0,0.0,744.0,162.0,0.0,0.0,466.0,58.0,0.0,381.0,53.0,0.0,141.21841553963327,41.28651951426619,9.77345754013018,1977.0,むつ市苫生一丁目,むつ市苫生一丁目,code_in_car30
02208033001,むつ市,大曲一丁目,むつ市,大曲一丁目,むつ市大曲一丁目,青森県,むつ市,大曲,一丁目,むつ市大曲一丁目,2208,33001,4,723.0,21.0,29.0,35.0,35.0,13.0,33.0,34.0,45.0,48.0,49.0,47.0,70.0,56.0,59.0,62.0,28.0,28.0,17.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,42.0,0.0,94.0,386.0,0.0,1565.0,945.0,155.0,235.0,380.0,117.0,31.0,106.0,85.0,0.0,141.21820780808156,41.268213965611,9.78196883594885,4099.0,むつ市大曲一丁目,むつ市大曲一丁目,code_in_car30
02208063002,むつ市,苫生二丁目,むつ市,苫生二丁目,むつ市苫生二丁目,青森県,むつ市,苫生,二丁目,むつ市苫生二丁目,2208,63002,4,592.0,26.0,39.0,59.0,19.0,10.0,24.0,28.0,52.0,43.0,60.0,26.0,37.0,48.0,45.0,33.0,20.0,15.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,69.0,0.0,281.0,0.0,529.0,460.0,264.0,235.0,736.0,111.0,30.0,32.0,0.0,0.0,141.21554056255815,41.283474157180216,9.982139737328113,2747.0,むつ市苫生二丁目,むつ市苫生二丁目,code_in_car30
02208030002,むつ市,金曲二丁目,むつ市,金曲二丁目,むつ市金曲二丁目,青森県,むつ市,金曲,二丁目,むつ市金曲二丁目,2208,30002,4,548.0,20.0,36.0,51.0,21.0,12.0,28.0,36.0,35.0,58.0,39.0,37.0,40.0,26.0,27.0,33.0,21.0,13.0,8.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,29.0,128.0,123.0,365.0,31.0,767.0,66.0,32.0,31.0,105.0,28.0,50.0,187.0,31.0,0.0,141.21499281890712,41.275871801319546,10.00262655439789,1944.0,むつ市金曲二丁目,むつ市金曲二丁目,code_in_car30
02208037008,むつ市,大字奥内字浜奥内,むつ市,大字奥内字浜奥内,むつ市大字奥内字浜奥内,青森県,むつ市,大字奥内,字浜奥内,むつ市大字奥内字浜奥内,2208,37008,4,100.0,2.0,0.0,4.0,8.0,1.0,1.0,0.0,5.0,8.0,9.0,3.0,5.0,6.0,8.0,15.0,9.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,141.2661482261267,41.2028810330239,10.031564289672064,508.0,むつ市大字奥内字浜奥内,むつ市奥内字浜奥内,code_in_car30
02208003001,むつ市,柳町一丁目,むつ市,柳町一丁目,むつ市柳町一丁目,青森県,むつ市,柳町,一丁目,むつ市柳町一丁目,2208,3001,4,212.0,5.0,7.0,4.0,4.0,5.0,3.0,10.0,8.0,12.0,16.0,7.0,12.0,20.0,23.0,27.0,10.0,12.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,520.0,53.0,45.0,252.0,464.0,0.0,0.0,0.0,44.0,0.0,141.21383256110417,41.29731169696539,10.348452492525286,1394.0,むつ市柳町一丁目,むつ市柳町一丁目,code_in_car30
02208003002,むつ市,柳町二丁目,むつ市,柳町二丁目,むつ市柳町二丁目,青森県,むつ市,柳町,二丁目,むつ市柳町二丁目,2208,3002,4,592.0,28.0,26.0,38.0,21.0,16.0,21.0,22.0,46.0,47.0,39.0,37.0,53.0,38.0,35.0,46.0,26.0,25.0,13.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,34.0,40.0,0.0,268.0,44.0,1757.0,535.0,193.0,241.0,275.0,27.0,0.0,82.0,50.0,0.0,141.21458202663527,41.29981946623757,10.352180456096207,3512.0,むつ市柳町二丁目,むつ市柳町二丁目,code_in_car30
02208030003,むつ市,金曲三丁目,むつ市,金曲三丁目,むつ市金曲三丁目,青森県,むつ市,金曲,三丁目,むつ市金曲三丁目,2208,30003,4,748.0,38.0,44.0,47.0,47.0,17.0,27.0,37.0,61.0,59.0,77.0,54.0,37.0,50.0,41.0,38.0,26.0,29.0,7.0,10.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,37.0,61.0,57.0,150.0,29.0,2098.0,412.0,96.0,26.0,523.0,113.0,164.0,180.0,115.0,84.0,141.21081532555826,41.27439520471113,10.354989120991373,4108.0,むつ市金曲三丁目,むつ市金曲三丁目,code_in_car30
02208003003,むつ市,柳町三丁目,むつ市,柳町三丁目,むつ市柳町三丁目,青森県,むつ市,柳町,三丁目,むつ市柳町三丁目,2208,3003,4,761.0,37.0,34.0,37.0,23.0,26.0,42.0,37.0,49.0,59.0,62.0,52.0,57.0,39.0,50.0,38.0,46.0,23.0,12.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,38.0,148.0,43.0,121.0,34.0,1399.0,212.0,142.0,33.0,397.0,0.0,0.0,34.0,285.0,0.0,141.21532931584113,41.30293577829939,10.38256873477871,2848.0,むつ市柳町三丁目,むつ市柳町三丁目,code_in_car30
02208014005,むつ市,大字田名部字小平舘の内尻釜,むつ市,大字田名部字小平舘の内尻釜,むつ市大字田名部字小平舘の内尻釜,青森県,むつ市,大字田名部,字小平舘の内尻釜,むつ市大字田名部字小平舘の内尻釜,2208,14005,4,54.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,4.0,0.0,4.0,7.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,0.0,33.0,0.0,332.0,258.0,0.0,0.0,32.0,0.0,68.0,16.0,87.0,0.0,141.22279730986358,41.31867925223645,10.43605631983999,916.0,むつ市大字田名部字小平舘の内尻釜,むつ市田名部字小平舘の内尻釜,code_in_car30
