town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
松崎町櫻田,松崎町,櫻田,00223050070,7.578901120962082,138.79351391054252,34.76158438425429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305001006,7.69817227022829,138.78562125430355,34.75887200358165,1759.0,165.0,105.0,0.0,263.0,111.0,0.0,366.0,0.0
松崎町吉田,松崎町,吉田,00223050100,7.721908410860141,138.80631772087233,34.764313952784725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305002009,7.730175217337664,138.77687502318796,34.75756868100158,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町船田,松崎町,船田,00223050110,7.772205264148537,138.82363101772884,34.772895735492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町大沢里,西伊豆町,大沢里,00223060050,7.799600801052661,138.85468368461113,34.82159505936143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305002008,7.877758769845042,138.77887591833914,34.75639721330458,197.0,181.0,198.0,0.0,0.0,287.0,0.0,224.0,0.0
松崎町松崎,松崎町,松崎,22305003004,8.033728553887778,138.77720641562735,34.75485217205554,0.0,84.0,0.0,84.0,0.0,0.0,0.0,784.0,0.0
松崎町建久寺,松崎町,建久寺,00223050090,8.049813538150984,138.80338771534662,34.759999161480685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055018,8.184626543569768,138.78042287028947,34.89987742663763,29.0,102.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003002,8.197797019138866,138.77532122521689,34.75325363858781,88.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003005,8.199100506229529,138.7770839422377,34.753350670377124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町那賀,松崎町,那賀,00223050080,8.2533165050953,138.79950441925857,34.75681444835915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町峰輪,松崎町,峰輪,00223050120,8.341293619350044,138.82906026725328,34.76996062621086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053035,8.606204690408207,138.8184261430275,34.892980289023654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003001,8.619862545378258,138.7788380186748,34.74968373262413,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,松崎町,松崎,22305003003,8.628600191339748,138.77657064082504,34.74944195472452,743.0,129.0,147.0,130.0,149.0,637.0,0.0,0.0,0.0
松崎町宮内,松崎町,宮内,00223050040,8.650212308962143,138.78232386119674,34.74974748164376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053010,8.65264512130732,138.80718315424457,34.89822092643545,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053009,8.967606229393,138.80305526242515,34.90261653376917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053004,9.086831481880607,138.7911580650246,34.906581306174,0.0,44.0,100.0,67.0,0.0,0.0,130.0,0.0,0.0
松崎町道部,松崎町,道部,00223050230,9.126866384788766,138.77133351558942,34.74475602426628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町伏倉,松崎町,伏倉,00223050160,9.206390599082264,138.79333786498825,34.74637957988864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
