医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人社団仁和会　さがみ仁和会病院,医科,神奈川県,相模原市中央区,相模原市中央区相模原４－１１－４,35.57718,139.37817,22.327635013550665,84,内 外 整外 脳外 リハ 乳外 消内 消外 循内
ふちのべ内科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区共和１－３－４０　エステート共和１階,35.56577,139.39622,22.32783139120989,0,内 呼内 アレ 脳内 老内
日吉の森　内科クリニック,医科,神奈川県,横浜市港北区,横浜市港北区箕輪町１－２４－９－２階,35.54857,139.64529,22.328738660734626,0,内 呼内 アレ
医療法人社団　八丁堀医院,医科,東京都,中央区,中央区八丁堀二丁目２０番８号　八丁堀綜通ビル９０１号,35.67576,139.77698,22.32960871776315,0,内 胃 循 整外 皮 こう
なるかわ内科・脳神経クリニック,医科,埼玉県,川越市,川越市大字的場１２１５－３,35.91333,139.43832,22.331173356993997,0,神内 内
東日本橋整形外科　手のクリニック,医科,東京都,中央区,中央区日本橋横山町３番１号　横山町ダイカンプラザ１階２階,35.69195,139.78174,22.33391645015971,0,整外 リハ リウ
グレースホームケアクリニック　城東,医科,東京都,台東区,台東区入谷一丁目８番１１号　２階,35.71975,139.7859,22.33392605891793,0,内 美容皮膚科 精
医療法人社団　三和会　中央診療所,医科,東京都,中央区,中央区八丁堀三丁目２０番５号　Ｓ－ＧＡＴＥ八丁堀２階,35.67527,139.77686,22.333958771541695,0,内 外 整外 皮 リハ
白取内科クリニック,医科,東京都,大田区,大田区千鳥一丁目１９番１０号,35.57246,139.69249,22.33411214594306,0,内 リハ
医療法人社団　良月会　堀内科クリニック,医科,東京都,台東区,台東区浅草橋一丁目２４番３号　杉木立ビル３階,35.69766,139.783,22.3346249347866,0,内 循環器内科
中島医院,医科,東京都,町田市,町田市原町田二丁目１５番２号,35.54116,139.45381,22.334729283765398,0,内
東田医院,医科,東京都,品川区,品川区大井五丁目１５番１６号,35.59839,139.72583,22.336154010028615,0,内 外 整外 リハ リウ
つちはし内科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区共和１－６－３０プライマリーハイツ１Ｆ,35.56483,139.39771,22.336206158306876,0,内 消内 肝内
プラチナクリニック,医科,東京都,町田市,町田市原町田六丁目１０番１５号　新光町田ビル５階,35.54345,139.44638,22.338036955789335,0,内 形外 美外 美容皮膚科
やすおか医院,医科,東京都,町田市,町田市原町田四丁目１４番１７号,35.54224,139.45007,22.341056870159875,0,内 糖尿病・代謝内科 循環器内科
田口医院,医科,埼玉県,川越市,川越市元町２丁目４番地７,35.92553,139.48296,22.342108100868522,0,内 小 他
すぎ内科・糖尿病クリニック,医科,東京都,町田市,町田市原町田四丁目１４番１４号　Ｌｉｆｉｘビル１階,35.54213,139.45038,22.34244081989725,0,内 糖尿病内科
あらいこどもアレルギークリニック,医科,東京都,町田市,町田市原町田四丁目１４番１４号　Ｌｉｆｉｘビル２階,35.54213,139.45038,22.34244081989725,0,小 小児アレルギー科
佐藤威文前立腺クリニック,医科,東京都,町田市,町田市原町田四丁目１４番１４号　Ｌｉｆｉｘビル２階,35.54213,139.45038,22.34244081989725,0,ひ
なかはら脳神経クリニック,医科,東京都,町田市,町田市原町田四丁目１４番１４号　Ｌｉｆｉｘビル１階,35.54213,139.45038,22.34244081989725,0,脳外 整外
おかのクリニック,医科,東京都,足立区,足立区西新井一丁目１１番４号,35.77922,139.77879,22.34335168485209,0,麻 ペインクリニック内科
医療法人　至裕会　押阪こどもクリニック,医科,埼玉県,さいたま市見沼区,さいたま市見沼区南中野３－２５,35.90398,139.66231,22.344337557484337,0,小 アレ
かんの耳鼻咽喉科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台２－２１－１２パークサイドビル１Ｆ,35.56699,139.39375,22.347274980574394,0,耳い
上水内科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台２－２１－１２パークサイドビル２０１,35.56699,139.39375,22.347274980574394,0,内
ましも泌尿器クリニック,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台２－２１－１２,35.56699,139.39375,22.347274980574394,0,ひ
内堀医院,医科,神奈川県,横浜市港北区,横浜市港北区新吉田東５－７６－１０,35.53877,139.6158,22.349240076848233,0,内 小 皮
金杉眼科医院,医科,東京都,台東区,台東区下谷三丁目８番１０号,35.72506,139.78632,22.349423971865065,0,眼
花いかだ心療クリニック,医科,東京都,町田市,町田市小山町４４０５番地１,35.60319,139.34662,22.349824024979352,0,心内 精
四丁目クリニック,医科,東京都,台東区,台東区元浅草四丁目６番４号　大塚ビル２階,35.70915,139.7851,22.353281699224972,0,内 小
