医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
独立行政法人国立病院機構　相模原病院,医科,神奈川県,相模原市南区,相模原市南区桜台１８－１,35.52068,139.41078,25.969979456950007,458,内 精 脳内 呼内 アレ リウ 小 外 整外 形外 美外 脳外 呼外 皮 ひ 産 婦 眼 耳い リハ 放 麻 病理 消内 循内 消外 乳外 救急 腎内、血内
医療法人社団　東京白報会　かめいど在宅診療所,医科,東京都,江東区,江東区亀戸二丁目３１番１０号　コクブ亀戸ビル５階,35.69899,139.82396,25.971709829369477,0,内 精 皮 眼 耳い
菊名記念病院,医科,神奈川県,横浜市港北区,横浜市港北区菊名４－４－２７,35.50962,139.63521,25.98449253664983,218,内 呼内 アレ 外 整外 脳外 心外 皮 ひ 放 麻 精 婦 臨床 神内 リハ 病理 消内 循内 乳外 救急 腎内 内視内 美皮 肝内 糖内 血液・腫内
丸美屋食品診療所,医科,埼玉県,日高市,日高市大字旭ヶ丘字松の台９９５,35.91262,139.35933,25.985162456887014,0,内
医療法人社団　東京白報会　あだち在宅診療所,医科,東京都,足立区,足立区綾瀬四丁目７番１０号　柏芳ビル弐号館４階,35.76276,139.82394,25.993246368619715,0,内 皮 眼 精 耳い
社会医療法人三栄会　中央林間病院,医科,神奈川県,大和市,大和市中央林間４－１４－１８,35.50836,139.44621,26.00336837928358,109,内 外 整外 ひ 呼内 脳外 肛外 皮 神内 放 リハ 麻 精 消内 消外 循内 糖代内 腎内 胸外 人透内
医療法人社団　隆靖会　墨田中央病院,医科,東京都,墨田区,墨田区京島三丁目６７番１号,35.71294,139.82614,26.00717190402955,97,内 外 整外 形外 脳外 皮 ひ 心外 放 消化器外科 循環器内科
医療法人　秀峰会　北辰病院,医科,埼玉県,越谷市,越谷市七左町４－３５８,35.86907,139.77083,26.035052406900892,238,精 心内 神内 内
医療法人社団養心会　鶴見西井病院,医科,神奈川県,横浜市鶴見区,横浜市鶴見区北寺尾３－３－１,35.5174,139.66025,26.04126487163144,139,精 神
医療法人社団　綾瀬病院,医科,東京都,足立区,足立区綾瀬六丁目３番１号,35.76901,139.8233,26.042456624656516,97,外 内 精 心内
医療法人社団　有仁会　糀谷病院,医科,東京都,大田区,大田区南蒲田三丁目３番１５号,35.55365,139.72879,26.043801437583188,88,内 放 リハ
医療法人社団　祥史会　綾瀬中央診療所,医科,東京都,葛飾区,葛飾区小菅四丁目９番１３号,35.76137,139.82483,26.0516916739641,0,内 内視鏡内科 消化器内科
草加市立病院,医科,埼玉県,草加市,草加市草加二丁目２１番１号,35.83542,139.79669,26.06122698662803,380,内 リウ 小 外 心外 整外 脳外 皮 ひ 産婦 眼 耳い リハ 放 歯外 麻 精 血内、内分泌・代謝内、腎内、緩ケ内 呼内 循内 消内 救急 病理 呼外
武蔵の森病院,医科,埼玉県,飯能市,飯能市大字飯能９４９番地１５,35.86798,139.30479,26.10738311035862,180,内 精 神 心内
医療法人社団　片山整形外科記念病院,医科,神奈川県,横浜市鶴見区,横浜市鶴見区北寺尾４－１３－１,35.51626,139.65904,26.11059017043542,38,整外 内 放 リハ
医療法人社団恵生会　竹山病院,医科,神奈川県,横浜市緑区,横浜市緑区竹山３－１－９,35.49567,139.56216,26.11628207887841,64,内 心内 外 整外 形外 美外 皮 ひ 耳い リハ 放 神内 眼 循内 肝内 消外
医療法人　秀峰会　診療所　佳境,医科,埼玉県,越谷市,越谷市七左町４丁目１５４,35.87084,139.77115,26.17553628965498,0,精 心内 内
医療法人社団恵生会　上白根病院,医科,神奈川県,横浜市旭区,横浜市旭区上白根２－６５－１,35.4943,139.53468,26.185754341521864,150,内 リウ 外 整外 脳外 形外 ひ 皮 リハ 放 麻 耳い 眼 婦 神内 呼内 循内 消内 糖内 消外 血管外
晃友脳神経外科眼科病院,医科,神奈川県,相模原市緑区,相模原市緑区大島１６０５－１,35.57173,139.32347,26.217631154270716,59,脳外 眼 リハ 内 整外 循内
医療法人財団　慈光会　堀切中央病院,医科,東京都,葛飾区,葛飾区堀切七丁目４番４号,35.75428,139.82782,26.226636506042063,125,内 神内 整外 皮 リハ 放 呼内 循環器内科 消化器内科 小
社会医療法人財団石心会　川崎幸病院,医科,神奈川県,川崎市幸区,川崎市幸区大宮町３１－２７,35.53026,139.69411,26.252295810433793,326,内 外 脳外 心外 麻 ひ 病理 整外 形外 呼外 婦 循内 人透内 肛外 放診 放治 消内 消外 リハ 糖・代内 腎内 内視外 腫外 乳外 救急
広瀬病院,医科,神奈川県,相模原市緑区,相模原市緑区久保沢２－３－１６,35.59412,139.30074,26.26910038155475,71,内 呼内 眼 外 整外 リハ 循内 人透内 消内 糖内 緩ケア内 漢内
菖蒲園診療所,医科,東京都,葛飾区,葛飾区堀切三丁目１２番１６号,35.74632,139.82919,26.274127768899433,0,内 小 皮 胃
東京労災病院,医科,東京都,大田区,大田区大森南四丁目１３番２１号,35.56499,139.74721,26.27464730722132,400,内 脳内 循 精 小 外 整外 形外 脳外 皮 ひ 産婦 眼 耳い リハ 放射線診断科 放射線治療科 麻 病理 消化器外科
医療法人社団育成社　佐々木病院,医科,神奈川県,横浜市鶴見区,横浜市鶴見区下末吉１－１３－８,35.51907,139.67041,26.27572331946154,88,内 外 呼 整外 眼 耳い 消 リハ 放 麻 こう 循 小 皮 ひ 乳外
医療法人財団　青溪会　駒木野病院,医科,東京都,八王子市,八王子市裏高尾町２７３番地,35.64045,139.26936,26.28364153162353,447,精 老年精神科 児童精神科 内 小 神内 リハ
おの皮ふ科診療所,医科,東京都,江東区,江東区大島１丁目３０－１４　市川ビル１階,35.689,139.82565,26.29317822455479,0,皮
小松会病院,医科,神奈川県,相模原市南区,相模原市南区新磯野２３３７,35.52182,139.40019,26.29878690233504,402,内 神内
医療法人　秀峰会　附属生徳診療所,医科,埼玉県,越谷市,越谷市七左町４丁目９８番地１,35.87183,139.77217,26.31506353796303,0,精 神 心内
医療法人社団　正和会　平野診療所,医科,東京都,墨田区,墨田区八広四丁目４８番５号　１階,35.72102,139.83012,26.31570845923581,0,内 外 小 皮
医療法人財団　南葛勤医協　江東診療所,医科,東京都,江東区,江東区大島一丁目３６番５号　江東ビル２階、３階,35.68742,139.82564,26.32340304193838,0,内 精 整外 皮
新横浜リハビリテーション病院,医科,神奈川県,横浜市神奈川区,横浜市神奈川区菅田町２６２８－４,35.49788,139.59753,26.325905301159196,126,リハ 内 外 整外 脳外 緩ケア内
こんどうレディース診療所,医科,神奈川県,川崎市幸区,川崎市幸区大宮町２－８イクス川崎ザ・タワー１階Ａ,35.5289,139.69324,26.33852156534714,1,産 婦 内
医療法人社団　月陽会　萩中診療所,医科,東京都,大田区,大田区萩中二丁目９番１５号,35.55069,139.72972,26.347355164270848,19,内 産婦 小 整外 外 皮 放 リハ
母子育成会川崎診療所,医科,神奈川県,川崎市川崎区,川崎市川崎区本町１－１,35.53333,139.70193,26.353097953487755,0,内 小
医療法人社団　桃医会　小野内科診療所,医科,東京都,江東区,江東区大島一丁目３３番１５号　小野ビル１階,35.68851,139.82631,26.36138506550493,0,内 小 循環器内科
江東区総合区民センター休日急病診療所,医科,東京都,江東区,江東区大島四丁目５番１号,35.68891,139.82652,26.37229340621072,0,内 小
きゅーちゃん診療所,医科,東京都,大田区,大田区萩中二丁目６番１７号　１０１,35.55149,139.73129,26.373490032166927,0,皮膚科 小児皮膚科 老年皮膚科 アレルギー疾患皮膚科 心内 内 性感染症内科 美容皮膚科 小
医療法人社団　清伸会　高尾厚生診療所,医科,東京都,八王子市,八王子市高尾町１５６４番地１　メゾン９０４　３０２号,35.63281,139.27217,26.385498309805467,0,精
医療法人社団　宗仁会　武蔵野病院,医科,埼玉県,上尾市,上尾市栄町１５－３２,35.96176,139.60269,26.431108239427395,180,心内 精 他
江東リハビリテーション病院,医科,東京都,江東区,江東区北砂二丁目１５番１５号,35.68485,139.8266,26.46155068769756,300,リハ
臼田診療所,医科,埼玉県,草加市,草加市松原二丁目４番２１号　コンフォール松原２１号棟１０１号,35.84403,139.79625,26.47064304246099,0,内 小
医療法人愛仁会　太田総合病院,医科,神奈川県,川崎市川崎区,川崎市川崎区日進町１－５０,35.52813,139.6946,26.47637110205004,261,内 呼 消 循 小 外 整外 脳外 皮 ひ 性 こう 産婦 眼 耳い 気食 リハ 放 麻
ゆざわ日航ビル診療所,医科,神奈川県,川崎市川崎区,川崎市川崎区日進町１川崎日航ホテルビル２Ｆ,35.52813,139.6946,26.47637110205004,0,内 呼内 循内 消内 内泌内
太田総合病院記念研究所附属診療所,医科,神奈川県,川崎市川崎区,川崎市川崎区日進町１サンスクエア川崎７号棟２Ｆ,35.52813,139.6946,26.47637110205004,8,内 精 耳い 歯 小
医療法人社団　三秀会　青梅三慶病院,医科,東京都,青梅市,青梅市大柳町１４１２番地,35.78499,139.25333,26.480981461622775,124,内 循環器内科 整外 糖尿病内科 リハ
