town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,済生会山口総合病院,山口県立総合医療センター,綜合病院 山口赤十字病院,医療法人和同会 防府リハビリテーション病院,医療法人神徳会 三田尻病院,医療法人 米沢記念 桑陽病院,一般財団法人防府消化器病センター 防府胃腸病院,みほりクリニック,相川医院,周南市立新南陽市民病院,なかもり内科クリニック,おさばファミリークリニック,たにがわ医院,淵上整形外科,医療法人 奥田胃腸科内科,光山医院,山口市徳地診療所,深川内科循環器科,やまがた循環器内科クリニック,おおうちクリニック,医療法人芳和会 アベ産婦人科クリニック,医療法人社団松友会 松本外科病院,おのクリニック,医療法人 仁保病院,林外科医院,うえだ内科・循環器クリニック,深野医院,クボクリニック,医療法人博愛会 山口博愛病院,竹内医院,野瀬内科小児科,医療法人社団 ながみつクリニック,大野整形外科リウマチ科,うちみち脳神経クリニック,医療法人財団清仁会附属 鴻城医院,医療法人清和会 吉南病院,医療法人社団 うのき内科・循環器科,医療法人 中村医院,ライフクリニック,緑町三祐病院,医療法人 原医院,藤原胃腸科内科,三の宮ふくだクリニック,医療法人治徳会 湯野温泉病院,よろず循環器内科,三好クリニック,くにちか内科 循環器・呼吸器クリニック,医療法人社団 ひらた内科呼吸器科医院,医療法人樹一会 山口病院,原田内科胃腸科医院,医療法人社団水生会 柴田病院,渡辺内科・呼吸器科,中央クリニック,医療法人 丘病院,医療法人社団イシス会 かまたクリニック,医療法人社団生和会 周南リハビリテーション病院,大腸クリニックかわむら内科,しおみ循環器内科,山本内科医院,山口若宮病院
山口市徳地大字小古祖上市,山口市,徳地大字小古祖上市,35203100002,2.296583298503336,131.67513956887646,34.20589595051398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖才契,山口市,徳地大字小古祖才契,35203100001,2.319650999187143,131.66705276355918,34.21035597475557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地船津上,山口市,徳地伊賀地船津上,35203102005,2.6216411435530462,131.64060596504092,34.17220181072091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地八坂下八坂下,山口市,徳地八坂下八坂下,35203104001,2.7419684219794878,131.663331594588,34.2151498150515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀漆尾,山口市,徳地堀漆尾,35203101019,2.8050546444726043,131.62752476595247,34.192219069189385,0.0,0.0,0.0,28.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地山畑下畑,山口市,徳地山畑下畑,35203115003,2.946905489619921,131.68781782292098,34.18124011451069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀二の宮,山口市,徳地堀二の宮,35203101013,3.11420472306973,131.6302177054546,34.17486240521063,0.0,0.0,32.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地古森,山口市,徳地伊賀地古森,35203102004,3.1931303561269773,131.65320113539005,34.1624481905092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地八坂下八坂中,山口市,徳地八坂下八坂中,35203104002,3.35142103041383,131.6632846941492,34.22071021405762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地山畑中畑,山口市,徳地山畑中畑,35203115002,3.401154343461757,131.6888414469189,34.17404514099412,113.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
