town_name_show,dist_km,藤井クリニック,なかの内科クリニック,関市国民健康保険津保川診療所,林医院,竹内医院,岐阜県厚生農業協同組合連合会 中濃厚生病院,美濃市立美濃病院,下條内科クリニック,おおすが内科クリニック,安田内科クリニック
七宗町神淵,5.909994949495866,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
美濃加茂市三和町廿屋,5.945156595477844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市下河和,6.073089609958661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合中,6.176478197417449,1203.0,220.0,400.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市立花,6.184253281587663,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,6.2422121691492105,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0
関市神野,6.334222069012126,222.0,0.0,0.0,0.0,172.0,99.0,0.0,220.0,167.0,64.0
美濃市保木脇,6.413316489919895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合上,6.426908119178212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,6.560263308236967,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,282.0
