TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,おかむね医院,おかむらクリニック,でぐち内科クリニック,三重県立志摩病院,中村クリニック,二見浦内科 アレルギー科・皮フ科・小児科,伊勢志摩腎クリニック志摩分院,医療法人山﨑整形外科,医療法人日比クリニック,医療法人社団中瀬外科整形外科,医療法人(社団)医心会齋木内科,小林内科クリニック,尾崎内科,志摩市休日夜間応急診療所,服部内科,林クリニック,池田ファミリークリニック,西岡記念セントラルクリニック,谷岡医院,豊和病院,赤坂クリニック,近藤内科,近藤医院,鳥羽市休日・夜間応急診療所,鳥羽市立鏡浦診療所,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所石鏡分室,鳥羽市立長岡診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
24211016000,鳥羽市,若杉町,鳥羽市,若杉町,鳥羽市若杉町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,610.0,0.0,0.0,237.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,73.0,0.0,0.0,0.0,82.0,136.84191571595179,34.45251947610338,8.923469703291495,1632.0,鳥羽市若杉町,鳥羽市若杉町,code_in_car30
24211011000,鳥羽市,高丘町,鳥羽市,高丘町,鳥羽市高丘町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,4557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,1725.0,0.0,0.0,0.0,0.0,136.85818821185288,34.46282039869978,9.091729791207074,7878.0,鳥羽市高丘町,鳥羽市高丘町,code_in_car30
24211010000,鳥羽市,安楽島町,鳥羽市,安楽島町,鳥羽市安楽島町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,186.0,187.0,2092.0,73.0,52.0,827.0,0.0,0.0,185.0,20508.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,3064.0,340.0,45.0,8102.0,0.0,0.0,51.0,185.0,136.86179252873183,34.46489693196499,9.160060121266588,36109.0,鳥羽市安楽島町,鳥羽市安楽島町,code_in_car30
24215030000,志摩市,磯部町迫間,志摩市,磯部町迫間,志摩市磯部町迫間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,381.0,0.0,166.0,339.0,0.0,0.0,0.0,172.0,0.0,201.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,136.80327231459913,34.375623691521696,9.219403710697057,1404.0,志摩市磯部町迫間,志摩市磯部町迫間,code_in_car30
24211014000,鳥羽市,幸丘,鳥羽市,幸丘,鳥羽市幸丘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,136.84480977499345,34.45792312586479,9.247983233161598,2289.0,鳥羽市幸丘,鳥羽市幸丘,code_in_car30
24215023000,志摩市,磯部町五知,志摩市,磯部町五知,志摩市磯部町五知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7999582465896,34.41119640989241,9.691880964201214,147.0,志摩市磯部町五知,志摩市磯部町五知,code_in_car30
24215036000,志摩市,磯部町穴川,志摩市,磯部町穴川,志摩市磯部町穴川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,95.0,0.0,248.0,0.0,0.0,197.0,0.0,64.0,0.0,429.0,531.0,0.0,0.0,61.0,0.0,71.0,0.0,0.0,74.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,136.80354660334874,34.35406798758194,9.887167832145524,2197.0,志摩市磯部町穴川,志摩市磯部町穴川,code_in_car30
24211012000,鳥羽市,大明東町,鳥羽市,大明東町,鳥羽市大明東町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,130.0,51.0,0.0,81.0,0.0,0.0,0.0,3496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,136.8517702489558,34.46886444739396,9.958074970600345,4865.0,鳥羽市大明東町,鳥羽市大明東町,code_in_car30
24211013000,鳥羽市,大明西町,鳥羽市,大明西町,鳥羽市大明西町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,507.0,0.0,0.0,464.0,0.0,0.0,0.0,3056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,136.84622270629802,34.46709693104487,10.035571614952781,5075.0,鳥羽市大明西町,鳥羽市大明西町,code_in_car30
24211015000,鳥羽市,船津町,鳥羽市,船津町,鳥羽市船津町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,430.0,298.0,115.0,0.0,609.0,0.0,0.0,0.0,4452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,0.0,0.0,1290.0,0.0,0.0,0.0,0.0,136.8365823431811,34.46220801499049,10.075617156421721,7813.0,鳥羽市船津町,鳥羽市船津町,code_in_car30
