town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック,志摩市休日夜間応急診療所,服部内科,豊和病院,林クリニック,二見浦内科 アレルギー科・皮フ科・小児科,池田ファミリークリニック,医療法人日比クリニック,鳥羽市立長岡診療所,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,近藤内科,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所,尾崎内科,鳥羽市立鏡浦診療所石鏡分室,谷岡医院
志摩市磯部町穴川,志摩市,磯部町穴川,24215036000,9.887167832145524,136.80354660334874,34.35406798758194,531.0,0.0,0.0,0.0,429.0,95.0,248.0,0.0,304.0,0.0,0.0,61.0,74.0,0.0,0.0,71.0,64.0,0.0,197.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市大明東町,鳥羽市,大明東町,24211012000,9.958074970600345,136.8517702489558,34.46886444739396,3496.0,977.0,130.0,130.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市大明西町,鳥羽市,大明西町,24211013000,10.035571614952781,136.84622270629802,34.46709693104487,3056.0,526.0,522.0,507.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市船津町,鳥羽市,船津町,24211015000,10.075617156421721,136.8365823431811,34.46220801499049,4452.0,1290.0,619.0,298.0,0.0,0.0,430.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽五丁目,鳥羽市,鳥羽五丁目,24211001005,10.500968907701496,136.8420659624541,34.4699113944554,1751.0,746.0,39.0,238.0,40.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市河内町,鳥羽市,河内町,24211018000,10.572326826157688,136.8068885860592,34.44293570769373,2244.0,881.0,177.0,244.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町迫間,志摩市,磯部町迫間,24215031000,10.841596946601106,136.78868747216853,34.36288423098963,868.0,0.0,0.0,0.0,259.0,185.0,109.0,0.0,212.0,0.0,57.0,0.0,94.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽四丁目,鳥羽市,鳥羽四丁目,24211001004,10.861899820772386,136.84394112078326,34.474599635984404,1770.0,433.0,85.0,1048.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町恵利原,志摩市,磯部町恵利原,24215029000,10.86745632649348,136.78427801320618,34.39780007285105,393.0,175.0,0.0,0.0,73.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽町,鳥羽市,鳥羽町,24211033000,11.317048295622811,136.83628050877817,34.475583850178175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽三丁目,鳥羽市,鳥羽三丁目,24211001003,11.424809256857072,136.8435067893498,34.480182059946216,2807.0,448.0,0.0,812.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽二丁目,鳥羽市,鳥羽二丁目,24211001002,11.934731373964587,136.8352401516306,34.48158275431922,1456.0,510.0,312.0,90.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
