TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,はらクリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,下田メディカルセンター附属みなとクリニック,中江医院,佐倉医院,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人慈愛会 石田医院,医療法人社団健育会西伊豆健育会病院,医療法人社団康心会 康心会伊豆東部病院,医療法人社団桑寿会 下田温泉病院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,小川クリニック,河井医院,白津医院,臼井医院,菊池医院,鈴木クリニック,飯島医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22219035000,下田市,立野,下田市,立野,下田市立野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,600.0,36.0,732.0,0.0,0.0,233.0,0.0,78.0,0.0,43.0,396.0,0.0,87.0,0.0,0.0,0.0,0.0,54.0,0.0,83.0,0.0,390.0,0.0,138.93466669473153,34.69182231240192,3.4727040235079123,2732.0,下田市立野,下田市立野,code_in_car30
22219045000,下田市,横川,下田市,横川,下田市横川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,79.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,138.89313503798377,34.71314462920315,3.5916769145051695,455.0,下田市横川,下田市横川,code_in_car30
22219027000,下田市,高馬,下田市,高馬,下田市高馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,37.0,0.0,105.0,95.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,43.0,0.0,0.0,0.0,46.0,0.0,0.0,122.0,0.0,0.0,312.0,34.0,0.0,138.938562373166,34.68996753241746,3.7306271426646602,1089.0,下田市高馬,下田市高馬,code_in_car30
22219033000,下田市,大沢,下田市,大沢,下田市大沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,620.0,0.0,90.0,761.0,353.0,1304.0,0.0,70.0,742.0,115.0,281.0,157.0,0.0,935.0,261.0,680.0,215.0,428.0,337.0,139.0,1496.0,267.0,680.0,158.0,204.0,87.0,138.9094416722458,34.693929999460856,3.7551889169257944,10380.0,下田市大沢,下田市大沢,code_in_car30
22219072000,下田市,白浜,下田市,白浜,下田市白浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,108.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,138.96463841547487,34.70373774374639,3.7687922291457947,610.0,下田市白浜,下田市白浜,code_in_car30
22219037000,下田市,西中,下田市,西中,下田市西中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,71.0,0.0,798.0,125.0,368.0,0.0,0.0,72.0,0.0,0.0,97.0,0.0,485.0,0.0,0.0,0.0,97.0,0.0,0.0,259.0,0.0,83.0,258.0,46.0,0.0,138.9414637873699,34.68941188691693,3.850928481074818,2759.0,下田市西中,下田市西中,code_in_car30
22219036001,下田市,中（中）,下田市,中（中）,下田市中（中）,静岡県,下田市,中,（中）,下田市中（中）,22219.0,36001.0,36001.0,4.0,125,8.72761,2.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,6.0,10.0,10.0,8.0,7.0,13.0,12.0,14.0,9.0,6.0,4.0,0.0,0.0,0.0758,0.10392,0.1472,0.07377,0.02367,0.11348,0.1600499999999999,0.16765,0.21006,0.3912,0.4395,0.46008,0.4424,1.05313,1.1274000000000002,1.56758,1.0809,0.68898,0.40084,0.0,0.0,4347.0,総数,,,,-,8,59,58,33,10,69,7168,57.844,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,209.0,0.0,0.0,62.0,0.0,0.0,138.94824553360834,34.69114104197857,3.8795029653080984,489.0,下田市中（中）,下田市中,code_in_car30
22219038000,下田市,東中,下田市,東中,下田市東中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1030.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,198.0,138.94574869432597,34.68804125746886,4.1131457034353005,2409.0,下田市東中,下田市東中,code_in_car30
22302009000,河津町,縄地,河津町,縄地,河津町縄地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.97648406469798,34.72685172171289,4.216027084385343,224.0,河津町縄地,河津町縄地,code_in_car30
22219040002,下田市,須原二区,下田市,須原二区,下田市須原二区,静岡県,下田市,須原,二区,下田市須原二区,22219.0,40002.0,40002.0,4.0,195,14.22788,6.0,8.0,9.0,5.0,3.0,1.0,4.0,10.0,5.0,12.0,10.0,6.0,15.0,27.0,16.0,25.0,11.0,12.0,8.0,1.0,1.0,0.2274,0.41568,0.3312,0.12295,0.07101,0.02837,0.12804,0.3353,0.1750499999999999,0.46944,0.4395,0.34506,0.948,2.18727,1.5032,2.79925,1.3211,1.37796,0.80168,0.10021,0.10021,4352.0,総数,,,,-,23,71,101,58,22,93,11205,57.96154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.91358652072233,34.758319642537245,4.237093799476738,0.0,下田市須原二区,下田市須原二区,code_in_car30
22219073000,下田市,白浜,下田市,白浜,下田市白浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,836.0,0.0,0.0,138.97526407569057,34.71256332776926,4.239591287002171,1798.0,下田市白浜,下田市白浜,code_in_car30
22302005000,河津町,逆川,河津町,逆川,河津町逆川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.95517393492557,34.755556614840756,4.271543447340888,0.0,河津町逆川,河津町逆川,code_in_car30
