town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,医療法人社団健育会西伊豆健育会病院,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,佐倉医院,臼井医院,医療法人社団康心会 康心会伊豆東部病院,飯島医院,かわづクリニック,白津医院,公益社団法人地域医療振興協会 いなずさ診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人慈愛会 石田医院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,中江医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市白浜,下田市,白浜,22219072000,3.7687922291457947,138.96463841547487,34.70373774374639,254.0,0.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0
下田市西中,下田市,西中,22219037000,3.850928481074818,138.9414637873699,34.68941188691693,368.0,485.0,259.0,798.0,0.0,125.0,97.0,258.0,72.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
下田市中（中）,下田市,中（中）,22219036001,3.8795029653080984,138.94824553360834,34.69114104197857,0.0,0.0,209.0,121.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東中,下田市,東中,22219038000,4.1131457034353005,138.94574869432597,34.68804125746886,356.0,572.0,0.0,1030.0,0.0,0.0,0.0,193.0,0.0,0.0,60.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町縄地,河津町,縄地,22302009000,4.216027084385343,138.97648406469798,34.72685172171289,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原二区,下田市,須原二区,22219040002,4.237093799476738,138.91358652072233,34.758319642537245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,22219073000,4.239591287002171,138.97526407569057,34.71256332776926,480.0,0.0,482.0,0.0,0.0,0.0,0.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,河津町,逆川,22302005000,4.271543447340888,138.95517393492557,34.755556614840756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,4.301683195878201,138.93939051007678,34.68486821301736,129.0,0.0,205.0,246.0,50.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,4.3370625061837975,138.94319161173854,34.68526730369039,465.0,112.0,205.0,306.0,0.0,0.0,0.0,174.0,0.0,179.0,58.0,0.0,0.0,35.0,61.0,0.0,0.0,74.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0
河津町笹原,河津町,笹原,22302002000,4.407658684446837,138.9751722506162,34.73803349001124,0.0,627.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,68.0,0.0,0.0,206.0,0.0,0.0,1081.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,4.492000596655666,138.9456556827099,34.68441780190783,209.0,40.0,253.0,516.0,99.0,122.0,0.0,88.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
