town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小田原市立病院,医療法人 同愛会 小澤病院,山近記念クリニック,小田原市休日夜間急患診療所,久保クリニック,杏林堂クリニック,医療法人 高見澤クリニック,医療法人邦友会 湯河原循環器クリニック,鴨宮クリニック,医療法人尽誠会 山近記念総合病院,国際医療福祉大学熱海病院,独立行政法人地域医療機能推進機構 湯河原病院,医療法人社団 帰陽会 丹羽病院,湯河原胃腸病院,さかわ内科クリニック,森本内科医院,こまつクリニック,真鶴町国民健康保険診療所,城山クリニック,小田原銀座クリニック,しみず扇町クリニック,訪問診療めじろクリニック,本多記念青野クリニック,クリニック山田,漢和クリニック,小島クリニック,医療法人社団 福井内科消化器科クリニック,扇町しらさぎ内科クリニック,YKいわさきクリニック,おだわら泌尿器科・内科クリニック,菊地医院,古藤内科小児科クリニック,鴨宮さとう内科クリニック,清水内科クリニック,医療法人社団 雨宮内科医院,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,ひまわりメンタルクリニック,独立行政法人国立病院機構 箱根病院,五十子内科医院,医療法人社団 川_内科医院,河西クリニック,医療法人 武井内科医院,安間医院,窪倉医院,いがらし胃腸科内科クリニック,循環器中町クリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人 小林病院,湯河原ホームクリニック,医療法人社団ちとせ会 熱海ちとせ病院,医療法人山田クリニック,浜辺の診療所,あおぞらクリニック,西湘診療所,川邊小児科内科医院,小田原レディスクリニック,医療法人社団伊豆七海会 熱海所記念病院,朝倉医院,仁天堂医院,医療法人財団報徳会 西湘病院
湯河原町土肥二丁目,湯河原町,土肥二丁目,14384003002,2.83707392606034,139.1076298377826,35.14454644556536,1016.0,55.0,0.0,219.0,0.0,69.0,0.0,1153.0,0.0,0.0,530.0,493.0,0.0,1294.0,0.0,66.0,241.0,0.0,50.0,0.0,0.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1238.0,341.0,474.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0
湯河原町吉浜,湯河原町,吉浜,14384007001,2.847793966297625,139.10490685756125,35.16578611517492,145.0,144.0,53.0,0.0,0.0,55.0,0.0,113.0,0.0,0.0,413.0,37.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥三丁目,湯河原町,土肥三丁目,14384003003,3.0052067855469757,139.10707258372864,35.142430146710545,242.0,0.0,0.0,66.0,0.0,0.0,0.0,707.0,0.0,0.0,462.0,81.0,0.0,688.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,28.0
湯河原町土肥一丁目,湯河原町,土肥一丁目,14384003001,3.185046968173532,139.10318766068028,35.14468327229113,0.0,181.0,0.0,0.0,0.0,0.0,0.0,2481.0,0.0,0.0,453.0,281.0,0.0,1742.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,140.0,0.0,0.0,0.0
小田原市江之浦,小田原市,江之浦,14206122000,3.2759692526096464,139.13320352809427,35.1869107148198,320.0,173.0,0.0,0.0,178.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥四丁目,湯河原町,土肥四丁目,14384003004,3.3459088370839227,139.10279730522456,35.14223883973241,0.0,241.0,0.0,0.0,0.0,0.0,0.0,1848.0,0.0,0.0,2673.0,0.0,0.0,1953.0,0.0,0.0,254.0,151.0,0.0,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町城堀,湯河原町,城堀,14384004000,3.3584064110430187,139.09826218865237,35.15175642104686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町土肥五丁目,湯河原町,土肥五丁目,14384003005,3.690282822982104,139.09866999859472,35.14193244147672,202.0,48.0,56.0,0.0,0.0,0.0,0.0,2614.0,0.0,0.0,731.0,1598.0,0.0,652.0,0.0,0.0,643.0,0.0,59.0,383.0,54.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,44.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0
湯河原町吉浜,湯河原町,吉浜,14384007004,3.870339824121095,139.09927116010715,35.176974415014804,118.0,129.0,100.0,0.0,94.0,200.0,0.0,1385.0,0.0,41.0,657.0,1655.0,92.0,929.0,0.0,39.0,870.0,306.0,0.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,0.0,80.0,905.0,261.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,307.0,61.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,123.0,60.0,0.0,143.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
湯河原町宮下,湯河原町,宮下,14384002000,4.037392606207738,139.09144419558763,35.14869386090161,37.0,56.0,36.0,0.0,28.0,127.0,0.0,2917.0,0.0,0.0,1082.0,875.0,0.0,1317.0,0.0,65.0,921.0,31.0,0.0,0.0,0.0,369.0,32.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,162.0,30.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,0.0,769.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0
湯河原町土肥六丁目,湯河原町,土肥六丁目,14384003006,4.222520651742713,139.09255572135174,35.141227830939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,湯河原町,宮上,14384001003,4.692683043094631,139.08552289281403,35.144240047337824,105.0,33.0,0.0,47.0,111.0,191.0,0.0,1573.0,0.0,0.0,631.0,1295.0,34.0,455.0,0.0,0.0,4506.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
湯河原町鍛冶屋,湯河原町,鍛冶屋,14384006000,5.172020832581159,139.0805265651822,35.17209806814359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市根府川,小田原市,根府川,14206121000,5.233722060355379,139.1143526624652,35.20155160120934,42.0,224.0,0.0,107.0,49.0,0.0,0.0,50.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,83.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,湯河原町,宮上,14384001002,5.57085005046163,139.07362164344272,35.152030182609586,67.0,165.0,87.0,0.0,0.0,0.0,0.0,1703.0,0.0,36.0,944.0,879.0,0.0,498.0,0.0,0.0,2629.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,553.0,544.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,138.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0
小田原市米神,小田原市,米神,14206120000,6.326907449325287,139.13525260165247,35.21436555367314,138.0,605.0,0.0,97.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市石橋,小田原市,石橋,14206119000,7.357544361389032,139.1355658922723,35.223631942435176,57.0,287.0,306.0,68.0,318.0,0.0,0.0,0.0,0.0,129.0,0.0,39.0,40.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,46.0,253.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,35.0,0.0,34.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
小田原市早川,小田原市,早川,14206066011,7.6652317318396435,139.11489934324138,35.22451042655542,150.0,987.0,195.0,50.0,263.0,58.0,63.0,338.0,71.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,49.0,73.0,0.0,121.0,0.0,0.0,90.0,0.0,0.0,0.0,218.0,178.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,188.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,49.0
湯河原町宮上,湯河原町,宮上,14384001001,7.80400001243477,139.0490737439855,35.1641022865328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,69.0,0.0,81.0,0.0,15.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町湯本茶屋,箱根町,湯本茶屋,14382012000,8.471566550033408,139.09322499496588,35.22576731881467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町湯本,箱根町,湯本,14382011000,8.631521825107537,139.10838734448865,35.232095299471695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町須雲川,箱根町,須雲川,14382013000,8.827205174938118,139.07548760128913,35.220502311591616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町畑宿,箱根町,畑宿,14382014000,8.934077732668158,139.066090181863,35.21514289196611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川一丁目,小田原市,早川一丁目,14206066001,9.303883297525338,139.1479644079104,35.240418476049896,565.0,283.0,37.0,0.0,61.0,62.0,274.0,0.0,0.0,97.0,0.0,37.0,0.0,50.0,0.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町塔之澤,箱根町,塔之澤,14382010000,9.49611468206258,139.09714035329011,35.23721529522201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川二丁目,小田原市,早川二丁目,14206066002,9.532280082116172,139.14415203204305,35.24283426410684,162.0,236.0,53.0,368.0,138.0,96.0,58.0,0.0,50.0,0.0,54.0,0.0,0.0,0.0,0.0,106.0,0.0,56.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,113.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川三丁目,小田原市,早川三丁目,14206066003,9.646910825715015,139.13960685246101,35.244127030285874,251.0,478.0,127.0,0.0,41.0,63.0,80.0,53.0,96.0,43.0,41.0,41.0,131.0,0.0,0.0,85.0,0.0,0.0,91.0,65.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,63.0,0.0,51.0,0.0,0.0,125.0,199.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市南町三丁目,小田原市,南町三丁目,14206017003,9.713458081275864,139.1519690883514,35.24365518545523,564.0,1404.0,154.0,149.0,50.0,39.0,41.0,97.0,0.0,0.0,0.0,0.0,202.0,57.0,41.0,91.0,0.0,0.0,246.0,106.0,42.0,0.0,238.0,0.0,0.0,0.0,0.0,86.0,0.0,380.0,59.0,0.0,0.0,43.0,0.0,0.0,0.0,35.0,60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,49.0,0.0,85.0,0.0,0.0,0.0,42.0
小田原市南町四丁目,小田原市,南町四丁目,14206017004,9.722326411695516,139.14930216982918,35.244067719732826,573.0,674.0,0.0,298.0,74.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,92.0,0.0,0.0,0.0,169.0,0.0,72.0,0.0,359.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市南板橋,小田原市,南板橋,14206062000,9.723754849764507,139.14537234913223,35.244467654130844,120.0,720.0,0.0,120.0,0.0,120.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市南町二丁目,小田原市,南町二丁目,14206017002,9.880902822449368,139.15433438585288,35.24484531141727,150.0,665.0,0.0,176.0,176.0,587.0,0.0,0.0,0.0,0.0,58.0,0.0,126.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
小田原市入生田,小田原市,入生田,14206064000,9.8955615296033,139.11343309647694,35.24477555080758,799.0,1115.0,133.0,189.0,49.0,143.0,0.0,0.0,0.0,147.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
