town_name_show,dist_km,小田原市立病院,医療法人 同愛会 小澤病院,山近記念クリニック,小田原市休日夜間急患診療所,久保クリニック,杏林堂クリニック,医療法人 高見澤クリニック,医療法人邦友会 湯河原循環器クリニック,鴨宮クリニック,医療法人尽誠会 山近記念総合病院,国際医療福祉大学熱海病院,独立行政法人地域医療機能推進機構 湯河原病院,医療法人社団 帰陽会 丹羽病院,湯河原胃腸病院,さかわ内科クリニック,森本内科医院,こまつクリニック,真鶴町国民健康保険診療所,城山クリニック,小田原銀座クリニック,しみず扇町クリニック,訪問診療めじろクリニック,本多記念青野クリニック,クリニック山田,漢和クリニック,小島クリニック,医療法人社団 福井内科消化器科クリニック,扇町しらさぎ内科クリニック,YKいわさきクリニック,おだわら泌尿器科・内科クリニック,菊地医院,古藤内科小児科クリニック,鴨宮さとう内科クリニック,清水内科クリニック,医療法人社団 雨宮内科医院,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,ひまわりメンタルクリニック,独立行政法人国立病院機構 箱根病院,五十子内科医院,医療法人社団 川_内科医院,河西クリニック,医療法人 武井内科医院,安間医院,窪倉医院,いがらし胃腸科内科クリニック,循環器中町クリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人 小林病院,湯河原ホームクリニック,医療法人社団ちとせ会 熱海ちとせ病院,医療法人山田クリニック,浜辺の診療所,あおぞらクリニック,西湘診療所,川邊小児科内科医院,小田原レディスクリニック,医療法人社団伊豆七海会 熱海所記念病院,朝倉医院,仁天堂医院,医療法人財団報徳会 西湘病院
湯河原町土肥六丁目,4.222520651742713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,4.692683043094631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.0,0.0,0.0,0.0,1295.0,0.0,0.0,0.0,0.0,4506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町鍛冶屋,5.172020832581159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市根府川,5.233722060355379,0.0,224.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,5.57085005046163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,2629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市米神,6.326907449325287,138.0,605.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市石橋,7.357544361389032,0.0,287.0,306.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市早川,7.6652317318396435,0.0,987.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0
湯河原町宮上,7.80400001243477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町湯本茶屋,8.471566550033408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
