town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,十勝いけだ地域医療センター,浦幌町立診療所,医療法人 蒼生 くりばやし医院,医療法人社団 藤田クリニック,医療法人社団 景山医院,豊頃町立大津診療所,豊頃町立豊頃医院,池田桜通診療所,駒畠診療所,糠内診療所,緑町クリニック
豊頃町長節長節一,豊頃町,長節長節一,01645015002,15.021182140280706,143.5623560042696,42.66424528371009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条一丁目,池田町,字西一条一丁目,01644005001,15.03412010382302,143.4499507193024,42.921413852584706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通二丁目,池田町,字大通二丁目,01644033002,15.1540912330098,143.45096334357015,42.92282940943266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条二丁目,池田町,字西一条二丁目,01644005002,15.182543068982678,143.44963162250158,42.92274964231466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西二条二丁目,池田町,字西二条二丁目,01644016002,15.204257228339898,143.44837345243508,42.92261829974112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通三丁目,池田町,字大通三丁目,01644033003,15.27690725694433,143.4506669366694,42.92392457500902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条三丁目,池田町,字西一条三丁目,01644005003,15.302930681478125,143.44949414438412,42.92386502054005,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西二条三丁目,池田町,字西二条三丁目,01644016003,15.338182455066875,143.4478851981769,42.92377034882199,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮大川,豊頃町,二宮大川,01645009001,15.400208916227884,143.364968875821,42.70898300867702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通四丁目,池田町,字大通四丁目,01644033004,15.403368441950503,143.45039310760063,42.92506016790788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字西一条四丁目,池田町,字西一条四丁目,01644005004,15.424279779671085,143.44935440994755,42.9249883666391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
