TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,医療法人 蒼生 くりばやし医院,医療法人社団 景山医院,医療法人社団 藤田クリニック,十勝いけだ地域医療センター,池田桜通診療所,浦幌町立診療所,糠内診療所,緑町クリニック,豊頃町立大津診療所,豊頃町立豊頃医院,駒畠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
01645006003,豊頃町,統内統内,豊頃町,統内統内,豊頃町統内統内,北海道,豊頃町,統内,統内,豊頃町統内統内,1645,6003,4,43.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,6.0,7.0,1.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4353146079965,42.84034212066982,8.15941217051255,0.0,豊頃町統内統内,豊頃町統内統内,code_in_car30
01649029003,浦幌町,吉野三区,浦幌町,吉野三区,浦幌町吉野三区,北海道,浦幌町,吉野,三区,浦幌町吉野三区,1649,29003,4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,5.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,143.61017325083193,42.77187715207786,8.288725955666777,85.0,浦幌町吉野三区,浦幌町吉野三区,code_in_car30
01645019002,豊頃町,礼文内礼文内二,豊頃町,礼文内礼文内二,豊頃町礼文内礼文内二,北海道,豊頃町,礼文内,礼文内二,豊頃町礼文内礼文内二,1645,19002,4,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.5511454182755,42.864753661872626,8.401728008000617,15.0,豊頃町礼文内礼文内二,豊頃町礼文内礼文内二,code_in_car30
01645009004,豊頃町,二宮小川一,豊頃町,二宮小川一,豊頃町二宮小川一,北海道,豊頃町,二宮,小川一,豊頃町二宮小川一,1645,9004,4,29.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.43422760205266,42.74287587396295,8.639315809807751,0.0,豊頃町二宮小川一,豊頃町二宮小川一,code_in_car30
01645016101,豊頃町,北栄北星,豊頃町,北栄北星,豊頃町北栄北星,北海道,豊頃町,北栄,北星,豊頃町北栄北星,1645,16101,4,44.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,0.0,3.0,8.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.47080045305103,42.865984139808226,8.678527779104654,62.0,豊頃町北栄北星,豊頃町北栄北星,code_in_car30
01645009008,豊頃町,二宮久保,豊頃町,二宮久保,豊頃町二宮久保,北海道,豊頃町,二宮,久保,豊頃町二宮久保,1645,9008,4,37.0,2.0,4.0,3.0,3.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4580648768026,42.7251835987433,8.928760040952874,0.0,豊頃町二宮久保,豊頃町二宮久保,code_in_car30
01645006002,豊頃町,統内二里塚,豊頃町,統内二里塚,豊頃町統内二里塚,北海道,豊頃町,統内,二里塚,豊頃町統内二里塚,1645,6002,4,35.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4457619495985,42.85945669011745,9.091138851212074,283.0,豊頃町統内二里塚,豊頃町統内二里塚,code_in_car30
01645008003,豊頃町,農野牛上農野牛,豊頃町,農野牛上農野牛,豊頃町農野牛上農野牛,北海道,豊頃町,農野牛,上農野牛,豊頃町農野牛上農野牛,1645,8003,4,22.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.3835256587793,42.786448315034455,10.633268788142093,0.0,豊頃町農野牛上農野牛,豊頃町農野牛上農野牛,code_in_car30
01645009002,豊頃町,二宮大川二,豊頃町,二宮大川二,豊頃町二宮大川二,北海道,豊頃町,二宮,大川二,豊頃町二宮大川二,1645,9002,4,18.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.39149153596503,42.75898124296172,10.70159938894391,0.0,豊頃町二宮大川二,豊頃町二宮大川二,code_in_car30
01645006001,豊頃町,統内平和,豊頃町,統内平和,豊頃町統内平和,北海道,豊頃町,統内,平和,豊頃町統内平和,1645,6001,4,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,6.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.40985448780236,42.853838438042445,10.71841294433074,0.0,豊頃町統内平和,豊頃町統内平和,code_in_car30
01649014002,浦幌町,住吉町二区,浦幌町,住吉町二区,浦幌町住吉町二区,北海道,浦幌町,住吉町,二区,浦幌町住吉町二区,1649,14002,4,168.0,3.0,2.0,9.0,1.0,8.0,6.0,7.0,8.0,4.0,6.0,18.0,10.0,10.0,18.0,13.0,17.0,19.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,0.0,0.0,143.64763357301987,42.80644115915865,11.034223497643179,609.0,浦幌町住吉町二区,浦幌町住吉町二区,code_in_car30
01645015001,豊頃町,長節長節二,豊頃町,長節長節二,豊頃町長節長節二,北海道,豊頃町,長節,長節二,豊頃町長節長節二,1645,15001,4,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.5464436474595,42.69759139624102,11.10402007022147,0.0,豊頃町長節長節二,豊頃町長節長節二,code_in_car30
